base,base_role,condition,condition_id,train_size,status,escape_rate,escape_rate_count,escape_rate_wilson_ci,conditional_macro_f1,conditional_macro_f1_bootstrap_ci,n_escaped,n_total,all_seed_macro_f1,all_seed_macro_f1_bootstrap_ci,all_seed_minus_conditional,n_escaped_sustained,escape_rate_sustained,escape_rate_sustained_wilson_ci,n_escaped_then_collapsed,n_tr_stage_degenerate,tr_stage_macro_f1_mean,source_paths
xlm15,primary,baza,1,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,tokenizator,3,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_mean,6,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_random_coef,7,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,turk,2,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,her_ikisi,4,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,turk_qarisiq,5,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,baza,1,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,tokenizator,3,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,transplant_mean,6,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,transplant_random_coef,7,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,turk,2,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,her_ikisi,4,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,turk_qarisiq,5,2000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,baza,1,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,tokenizator,3,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_mean,6,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_random_coef,7,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,turk,2,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,her_ikisi,4,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,turk_qarisiq,5,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,baza,1,10000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,tokenizator,3,10000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_mean,6,10000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_random_coef,7,10000,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,baza,1,20914,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,tokenizator,3,20914,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_mean,6,20914,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlm15,primary,transplant_random_coef,7,20914,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,baza,1,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,tokenizator,3,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,transplant_mean,6,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,transplant_random_coef,7,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,turk,2,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,her_ikisi,4,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
xlmr,contrast,turk_qarisiq,5,500,NOT MEASURED,,0/0,,,,0,0,,,,0,,,0,0,,[]
