01:02:35 | INFO    | src.training.finetune |   [AZ mərhələsi] 10000 nümunə | 2 sinif | init=baza
01:02:36 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
01:02:36 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T01:02:36.267838+00:00 n=10000 n_classes=2
01:02:43 | INFO    | src.training.finetune | STEP step=10 loss=4.7838 dt_sec=0.85 cum_wall_sec=0.9
01:02:44 | INFO    | src.training.finetune | STEP step=20 loss=3.6042 dt_sec=0.78 cum_wall_sec=1.6
01:02:45 | INFO    | src.training.finetune | STEP step=30 loss=2.7483 dt_sec=0.78 cum_wall_sec=2.4
01:02:45 | INFO    | src.training.finetune | STEP step=40 loss=2.1427 dt_sec=0.78 cum_wall_sec=3.2
01:02:46 | INFO    | src.training.finetune | STEP step=50 loss=1.9510 dt_sec=0.79 cum_wall_sec=4.0
01:02:47 | INFO    | src.training.finetune | STEP step=60 loss=1.9116 dt_sec=0.79 cum_wall_sec=4.8
01:02:48 | INFO    | src.training.finetune | STEP step=70 loss=1.9153 dt_sec=0.78 cum_wall_sec=5.6
01:02:48 | INFO    | src.training.finetune | STEP step=80 loss=1.8204 dt_sec=0.80 cum_wall_sec=6.4
01:02:49 | INFO    | src.training.finetune | STEP step=90 loss=2.3175 dt_sec=0.79 cum_wall_sec=7.2
01:02:50 | INFO    | src.training.finetune | STEP step=100 loss=1.9454 dt_sec=0.78 cum_wall_sec=7.9
01:02:51 | INFO    | src.training.finetune | STEP step=110 loss=1.6094 dt_sec=0.78 cum_wall_sec=8.7
01:02:52 | INFO    | src.training.finetune | STEP step=120 loss=1.7577 dt_sec=0.80 cum_wall_sec=9.5
01:02:52 | INFO    | src.training.finetune | STEP step=130 loss=2.3560 dt_sec=0.79 cum_wall_sec=10.3
01:02:53 | INFO    | src.training.finetune | STEP step=140 loss=1.4834 dt_sec=0.78 cum_wall_sec=11.1
01:02:54 | INFO    | src.training.finetune | STEP step=150 loss=1.6515 dt_sec=0.79 cum_wall_sec=11.9
01:02:55 | INFO    | src.training.finetune | STEP step=160 loss=1.7477 dt_sec=0.79 cum_wall_sec=12.7
01:02:56 | INFO    | src.training.finetune | STEP step=170 loss=1.4751 dt_sec=0.79 cum_wall_sec=13.5
01:02:56 | INFO    | src.training.finetune | STEP step=180 loss=1.0752 dt_sec=0.79 cum_wall_sec=14.2
01:02:57 | INFO    | src.training.finetune | STEP step=190 loss=1.2880 dt_sec=0.80 cum_wall_sec=15.1
