20:57:32 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T20:57:32.413076+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=omp__tr=real__seed=1337__dd0c52e7259d93c7
20:57:32 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.3321 constant_prediction=False — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
20:57:32 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
20:57:32 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:57:32 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:57:32.516185+00:00 n=2000 n_classes=2
20:57:34 | INFO    | src.training.finetune | STEP step=10 loss=1.0591 dt_sec=0.81 cum_wall_sec=0.8
20:57:34 | INFO    | src.training.finetune | STEP step=20 loss=1.1111 dt_sec=0.72 cum_wall_sec=1.5
20:57:35 | INFO    | src.training.finetune | STEP step=30 loss=1.1723 dt_sec=0.72 cum_wall_sec=2.2
20:57:36 | INFO    | src.training.finetune | STEP step=40 loss=1.0740 dt_sec=0.73 cum_wall_sec=3.0
20:57:36 | INFO    | src.training.finetune | STEP step=50 loss=1.0318 dt_sec=0.73 cum_wall_sec=3.7
20:57:37 | INFO    | src.training.finetune | STEP step=60 loss=1.1076 dt_sec=0.72 cum_wall_sec=4.4
20:57:38 | INFO    | src.training.finetune | STEP step=70 loss=1.2018 dt_sec=0.72 cum_wall_sec=5.1
20:57:39 | INFO    | src.training.finetune | STEP step=80 loss=1.1818 dt_sec=0.72 cum_wall_sec=5.9
20:57:39 | INFO    | src.training.finetune | STEP step=90 loss=1.1900 dt_sec=0.73 cum_wall_sec=6.6
20:57:40 | INFO    | src.training.finetune | STEP step=100 loss=1.1347 dt_sec=0.73 cum_wall_sec=7.3
20:57:41 | INFO    | src.training.finetune | STEP step=110 loss=1.1876 dt_sec=0.73 cum_wall_sec=8.1
20:57:41 | INFO    | src.training.finetune | STEP step=120 loss=1.2473 dt_sec=0.72 cum_wall_sec=8.8
20:57:42 | INFO    | src.training.finetune | STEP step=130 loss=1.1424 dt_sec=0.72 cum_wall_sec=9.5
20:57:43 | INFO    | src.training.finetune | STEP step=140 loss=1.0553 dt_sec=0.72 cum_wall_sec=10.2
20:57:44 | INFO    | src.training.finetune | STEP step=150 loss=0.9829 dt_sec=0.71 cum_wall_sec=10.9
20:57:44 | INFO    | src.training.finetune | STEP step=160 loss=1.0662 dt_sec=0.73 cum_wall_sec=11.7
20:57:45 | INFO    | src.training.finetune | STEP step=170 loss=1.2559 dt_sec=0.71 cum_wall_sec=12.4
20:57:46 | INFO    | src.training.finetune | STEP step=180 loss=0.9950 dt_sec=0.72 cum_wall_sec=13.1
20:57:47 | INFO    | src.training.finetune | STEP step=190 loss=1.2863 dt_sec=0.72 cum_wall_sec=13.8
20:57:47 | INFO    | src.training.finetune | STEP step=200 loss=1.1768 dt_sec=0.72 cum_wall_sec=14.5
20:57:50 | INFO    | src.training.finetune | STEP step=210 loss=0.9449 dt_sec=2.94 cum_wall_sec=17.5
20:57:51 | INFO    | src.training.finetune | STEP step=220 loss=0.9390 dt_sec=0.73 cum_wall_sec=18.2
20:57:52 | INFO    | src.training.finetune | STEP step=230 loss=0.9406 dt_sec=0.73 cum_wall_sec=18.9
20:57:52 | INFO    | src.training.finetune | STEP step=240 loss=1.0855 dt_sec=0.72 cum_wall_sec=19.6
20:57:53 | INFO    | src.training.finetune | STEP step=250 loss=1.0176 dt_sec=0.73 cum_wall_sec=20.4
20:57:54 | INFO    | src.training.finetune | STEP step=260 loss=0.9040 dt_sec=0.72 cum_wall_sec=21.1
20:57:55 | INFO    | src.training.finetune | STEP step=270 loss=0.8801 dt_sec=0.74 cum_wall_sec=21.8
20:57:55 | INFO    | src.training.finetune | STEP step=280 loss=0.9735 dt_sec=0.72 cum_wall_sec=22.6
20:57:56 | INFO    | src.training.finetune | STEP step=290 loss=1.2796 dt_sec=0.71 cum_wall_sec=23.3
20:57:57 | INFO    | src.training.finetune | STEP step=300 loss=0.9889 dt_sec=0.73 cum_wall_sec=24.0
20:57:57 | INFO    | src.training.finetune | STEP step=310 loss=0.9145 dt_sec=0.72 cum_wall_sec=24.7
20:57:58 | INFO    | src.training.finetune | STEP step=320 loss=0.8455 dt_sec=0.73 cum_wall_sec=25.5
20:57:59 | INFO    | src.training.finetune | STEP step=330 loss=0.9103 dt_sec=0.71 cum_wall_sec=26.2
20:58:00 | INFO    | src.training.finetune | STEP step=340 loss=0.8986 dt_sec=0.73 cum_wall_sec=26.9
20:58:00 | INFO    | src.training.finetune | STEP step=350 loss=1.0050 dt_sec=0.73 cum_wall_sec=27.6
20:58:01 | INFO    | src.training.finetune | STEP step=360 loss=0.8477 dt_sec=0.73 cum_wall_sec=28.4
20:58:02 | INFO    | src.training.finetune | STEP step=370 loss=0.8808 dt_sec=0.72 cum_wall_sec=29.1
20:58:03 | INFO    | src.training.finetune | STEP step=380 loss=0.9095 dt_sec=0.72 cum_wall_sec=29.8
20:58:03 | INFO    | src.training.finetune | STEP step=390 loss=0.9833 dt_sec=0.72 cum_wall_sec=30.5
20:58:04 | INFO    | src.training.finetune | STEP step=400 loss=0.7871 dt_sec=0.73 cum_wall_sec=31.2
20:58:07 | INFO    | src.training.finetune | STEP step=410 loss=0.9540 dt_sec=3.13 cum_wall_sec=34.4
20:58:08 | INFO    | src.training.finetune | STEP step=420 loss=0.9247 dt_sec=0.72 cum_wall_sec=35.1
20:58:09 | INFO    | src.training.finetune | STEP step=430 loss=0.8306 dt_sec=0.72 cum_wall_sec=35.8
20:58:09 | INFO    | src.training.finetune | STEP step=440 loss=0.8316 dt_sec=0.72 cum_wall_sec=36.5
20:58:10 | INFO    | src.training.finetune | STEP step=450 loss=0.7905 dt_sec=0.73 cum_wall_sec=37.3
20:58:11 | INFO    | src.training.finetune | STEP step=460 loss=0.7772 dt_sec=0.73 cum_wall_sec=38.0
20:58:11 | INFO    | src.training.finetune | STEP step=470 loss=0.9325 dt_sec=0.73 cum_wall_sec=38.7
20:58:12 | INFO    | src.training.finetune | STEP step=480 loss=0.7982 dt_sec=0.72 cum_wall_sec=39.4
20:58:13 | INFO    | src.training.finetune | STEP step=490 loss=0.7850 dt_sec=0.72 cum_wall_sec=40.2
20:58:14 | INFO    | src.training.finetune | STEP step=500 loss=0.7944 dt_sec=0.71 cum_wall_sec=40.9
20:58:14 | INFO    | src.training.finetune | STEP step=510 loss=0.8099 dt_sec=0.73 cum_wall_sec=41.6
20:58:15 | INFO    | src.training.finetune | STEP step=520 loss=0.7649 dt_sec=0.72 cum_wall_sec=42.3
20:58:16 | INFO    | src.training.finetune | STEP step=530 loss=0.7116 dt_sec=0.73 cum_wall_sec=43.0
20:58:16 | INFO    | src.training.finetune | STEP step=540 loss=0.6876 dt_sec=0.72 cum_wall_sec=43.8
20:58:17 | INFO    | src.training.finetune | STEP step=550 loss=0.6570 dt_sec=0.72 cum_wall_sec=44.5
20:58:18 | INFO    | src.training.finetune | STEP step=560 loss=0.5617 dt_sec=0.72 cum_wall_sec=45.2
20:58:19 | INFO    | src.training.finetune | STEP step=570 loss=0.5711 dt_sec=0.71 cum_wall_sec=45.9
20:58:19 | INFO    | src.training.finetune | STEP step=580 loss=0.5881 dt_sec=0.72 cum_wall_sec=46.6
20:58:20 | INFO    | src.training.finetune | STEP step=590 loss=0.5568 dt_sec=0.72 cum_wall_sec=47.4
20:58:21 | INFO    | src.training.finetune | STEP step=600 loss=0.5013 dt_sec=0.73 cum_wall_sec=48.1
20:58:24 | INFO    | src.training.finetune | STEP step=610 loss=0.4902 dt_sec=3.13 cum_wall_sec=51.2
20:58:25 | INFO    | src.training.finetune | STEP step=620 loss=0.5313 dt_sec=0.72 cum_wall_sec=51.9
20:58:25 | INFO    | src.training.finetune | STEP step=630 loss=0.3567 dt_sec=0.73 cum_wall_sec=52.7
20:58:26 | INFO    | src.training.finetune | STEP step=640 loss=0.2903 dt_sec=0.73 cum_wall_sec=53.4
20:58:27 | INFO    | src.training.finetune | STEP step=650 loss=0.3263 dt_sec=0.72 cum_wall_sec=54.1
20:58:28 | INFO    | src.training.finetune | STEP step=660 loss=0.3875 dt_sec=0.72 cum_wall_sec=54.8
20:58:28 | INFO    | src.training.finetune | STEP step=670 loss=0.3046 dt_sec=0.72 cum_wall_sec=55.6
20:58:29 | INFO    | src.training.finetune | STEP step=680 loss=0.2633 dt_sec=0.74 cum_wall_sec=56.3
20:58:30 | INFO    | src.training.finetune | STEP step=690 loss=0.3391 dt_sec=0.72 cum_wall_sec=57.0
20:58:30 | INFO    | src.training.finetune | STEP step=700 loss=0.2433 dt_sec=0.71 cum_wall_sec=57.7
20:58:31 | INFO    | src.training.finetune | STEP step=710 loss=0.1885 dt_sec=0.72 cum_wall_sec=58.4
20:58:32 | INFO    | src.training.finetune | STEP step=720 loss=0.4359 dt_sec=0.72 cum_wall_sec=59.2
20:58:33 | INFO    | src.training.finetune | STEP step=730 loss=0.3110 dt_sec=0.74 cum_wall_sec=59.9
20:58:33 | INFO    | src.training.finetune | STEP step=740 loss=0.3743 dt_sec=0.73 cum_wall_sec=60.6
