00:42:20 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:42:20.046931+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=omp__tr=real__seed=2024__849fe4b97186040c
00:42:20 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:42:20 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:42:20 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:42:20.114004+00:00 n=500 n_classes=2
00:42:21 | INFO    | src.training.finetune | STEP step=10 loss=2.1568 dt_sec=0.84 cum_wall_sec=0.8
00:42:22 | INFO    | src.training.finetune | STEP step=20 loss=1.1336 dt_sec=0.78 cum_wall_sec=1.6
00:42:23 | INFO    | src.training.finetune | STEP step=30 loss=1.0894 dt_sec=0.78 cum_wall_sec=2.4
00:42:23 | INFO    | src.training.finetune | STEP step=40 loss=1.1569 dt_sec=0.78 cum_wall_sec=3.2
00:42:24 | INFO    | src.training.finetune | STEP step=50 loss=1.0822 dt_sec=0.76 cum_wall_sec=3.9
00:42:25 | INFO    | src.training.finetune | STEP step=60 loss=1.0304 dt_sec=0.78 cum_wall_sec=4.7
00:42:26 | INFO    | src.training.finetune | STEP step=70 loss=1.0304 dt_sec=0.77 cum_wall_sec=5.5
00:42:26 | INFO    | src.training.finetune | STEP step=80 loss=1.0012 dt_sec=0.77 cum_wall_sec=6.3
00:42:27 | INFO    | src.training.finetune | STEP step=90 loss=1.0384 dt_sec=0.78 cum_wall_sec=7.0
00:42:28 | INFO    | src.training.finetune | STEP step=100 loss=0.9667 dt_sec=0.77 cum_wall_sec=7.8
00:42:29 | INFO    | src.training.finetune | STEP step=110 loss=1.0710 dt_sec=0.78 cum_wall_sec=8.6
00:42:29 | INFO    | src.training.finetune | STEP step=120 loss=1.0242 dt_sec=0.77 cum_wall_sec=9.4
00:42:30 | INFO    | src.training.finetune | STEP step=130 loss=1.1205 dt_sec=0.77 cum_wall_sec=10.1
00:42:31 | INFO    | src.training.finetune | STEP step=140 loss=0.9043 dt_sec=0.78 cum_wall_sec=10.9
00:42:32 | INFO    | src.training.finetune | STEP step=150 loss=0.8315 dt_sec=0.77 cum_wall_sec=11.7
00:42:33 | INFO    | src.training.finetune | STEP step=160 loss=0.6850 dt_sec=0.77 cum_wall_sec=12.5
00:42:33 | INFO    | src.training.finetune | STEP step=170 loss=0.5258 dt_sec=0.78 cum_wall_sec=13.2
00:42:34 | INFO    | src.training.finetune | STEP step=180 loss=0.5797 dt_sec=0.78 cum_wall_sec=14.0
00:42:35 | INFO    | src.training.finetune | STEP step=190 loss=0.4543 dt_sec=0.79 cum_wall_sec=14.8
00:42:36 | INFO    | src.training.finetune | STEP step=200 loss=0.5107 dt_sec=0.77 cum_wall_sec=15.6
00:42:39 | INFO    | src.training.finetune | STEP step=210 loss=0.4773 dt_sec=3.08 cum_wall_sec=18.7
00:42:40 | INFO    | src.training.finetune | STEP step=220 loss=0.4578 dt_sec=0.77 cum_wall_sec=19.4
00:42:40 | INFO    | src.training.finetune | STEP step=230 loss=0.6351 dt_sec=0.79 cum_wall_sec=20.2
00:42:41 | INFO    | src.training.finetune | STEP step=240 loss=0.3218 dt_sec=0.77 cum_wall_sec=21.0
00:42:42 | INFO    | src.training.finetune | STEP step=250 loss=0.2221 dt_sec=0.79 cum_wall_sec=21.8
00:42:43 | INFO    | src.training.finetune | STEP step=260 loss=0.1181 dt_sec=0.77 cum_wall_sec=22.5
00:42:43 | INFO    | src.training.finetune | STEP step=270 loss=0.1186 dt_sec=0.79 cum_wall_sec=23.3
00:42:44 | INFO    | src.training.finetune | STEP step=280 loss=0.1983 dt_sec=0.77 cum_wall_sec=24.1
00:42:45 | INFO    | src.training.finetune | STEP step=290 loss=0.0878 dt_sec=0.78 cum_wall_sec=24.9
00:42:46 | INFO    | src.training.finetune | STEP step=300 loss=0.0894 dt_sec=0.78 cum_wall_sec=25.7
00:42:47 | INFO    | src.training.finetune | STEP step=310 loss=0.0626 dt_sec=0.78 cum_wall_sec=26.4
00:42:47 | INFO    | src.training.finetune | STEP step=320 loss=0.3045 dt_sec=0.77 cum_wall_sec=27.2
00:42:48 | INFO    | src.training.finetune | STEP step=330 loss=0.0315 dt_sec=0.77 cum_wall_sec=28.0
00:42:49 | INFO    | src.training.finetune | STEP step=340 loss=0.0296 dt_sec=0.79 cum_wall_sec=28.8
00:42:50 | INFO    | src.training.finetune | STEP step=350 loss=0.0183 dt_sec=0.78 cum_wall_sec=29.5
00:42:50 | INFO    | src.training.finetune | STEP step=360 loss=0.1096 dt_sec=0.79 cum_wall_sec=30.3
00:42:51 | INFO    | src.training.finetune | STEP step=370 loss=0.1379 dt_sec=0.78 cum_wall_sec=31.1
00:42:52 | INFO    | src.training.finetune | STEP step=380 loss=0.0662 dt_sec=0.77 cum_wall_sec=31.9
00:42:53 | INFO    | src.training.finetune | STEP step=390 loss=0.0794 dt_sec=0.77 cum_wall_sec=32.7
00:42:54 | INFO    | src.training.finetune | STEP step=400 loss=0.0090 dt_sec=0.78 cum_wall_sec=33.4
00:42:57 | INFO    | src.training.finetune | STEP step=410 loss=0.0000 dt_sec=3.25 cum_wall_sec=36.7
00:42:58 | INFO    | src.training.finetune | STEP step=420 loss=0.0000 dt_sec=0.78 cum_wall_sec=37.5
00:42:58 | INFO    | src.training.finetune | STEP step=430 loss=0.0029 dt_sec=0.78 cum_wall_sec=38.2
00:42:59 | INFO    | src.training.finetune | STEP step=440 loss=0.0041 dt_sec=0.78 cum_wall_sec=39.0
00:43:00 | INFO    | src.training.finetune | STEP step=450 loss=0.0209 dt_sec=0.78 cum_wall_sec=39.8
00:43:01 | INFO    | src.training.finetune | STEP step=460 loss=0.0000 dt_sec=0.79 cum_wall_sec=40.6
00:43:01 | INFO    | src.training.finetune | STEP step=470 loss=0.0518 dt_sec=0.78 cum_wall_sec=41.4
00:43:02 | INFO    | src.training.finetune | STEP step=480 loss=0.0219 dt_sec=0.77 cum_wall_sec=42.1
00:43:03 | INFO    | src.training.finetune | STEP step=490 loss=0.0298 dt_sec=0.78 cum_wall_sec=42.9
00:43:04 | INFO    | src.training.finetune | STEP step=500 loss=0.0398 dt_sec=0.76 cum_wall_sec=43.7
00:43:05 | INFO    | src.training.finetune | STEP step=510 loss=0.0068 dt_sec=0.78 cum_wall_sec=44.5
00:43:05 | INFO    | src.training.finetune | STEP step=520 loss=0.0029 dt_sec=0.79 cum_wall_sec=45.3
00:43:06 | INFO    | src.training.finetune | STEP step=530 loss=0.0415 dt_sec=0.77 cum_wall_sec=46.0
