20:17:00 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
20:17:00 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:17:00 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:17:00.480497+00:00 n=2000 n_classes=2
20:17:01 | INFO    | src.training.finetune | STEP step=10 loss=6.0819 dt_sec=0.82 cum_wall_sec=0.8
20:17:02 | INFO    | src.training.finetune | STEP step=20 loss=4.2481 dt_sec=0.75 cum_wall_sec=1.6
20:17:03 | INFO    | src.training.finetune | STEP step=30 loss=3.0584 dt_sec=0.76 cum_wall_sec=2.3
20:17:04 | INFO    | src.training.finetune | STEP step=40 loss=2.3868 dt_sec=0.76 cum_wall_sec=3.1
20:17:05 | INFO    | src.training.finetune | STEP step=50 loss=2.4888 dt_sec=0.75 cum_wall_sec=3.8
20:17:05 | INFO    | src.training.finetune | STEP step=60 loss=2.4506 dt_sec=0.75 cum_wall_sec=4.6
20:17:06 | INFO    | src.training.finetune | STEP step=70 loss=2.5940 dt_sec=0.75 cum_wall_sec=5.4
20:17:07 | INFO    | src.training.finetune | STEP step=80 loss=2.2589 dt_sec=0.74 cum_wall_sec=6.1
20:17:08 | INFO    | src.training.finetune | STEP step=90 loss=1.6978 dt_sec=0.76 cum_wall_sec=6.9
20:17:08 | INFO    | src.training.finetune | STEP step=100 loss=1.2598 dt_sec=0.75 cum_wall_sec=7.6
20:17:09 | INFO    | src.training.finetune | STEP step=110 loss=1.3637 dt_sec=0.75 cum_wall_sec=8.4
20:17:10 | INFO    | src.training.finetune | STEP step=120 loss=1.4021 dt_sec=0.76 cum_wall_sec=9.1
20:17:11 | INFO    | src.training.finetune | STEP step=130 loss=1.3009 dt_sec=0.75 cum_wall_sec=9.9
20:17:11 | INFO    | src.training.finetune | STEP step=140 loss=1.2643 dt_sec=0.77 cum_wall_sec=10.6
20:17:12 | INFO    | src.training.finetune | STEP step=150 loss=1.1298 dt_sec=0.75 cum_wall_sec=11.4
20:17:13 | INFO    | src.training.finetune | STEP step=160 loss=1.0748 dt_sec=0.74 cum_wall_sec=12.1
20:17:14 | INFO    | src.training.finetune | STEP step=170 loss=1.0449 dt_sec=0.73 cum_wall_sec=12.9
20:17:14 | INFO    | src.training.finetune | STEP step=180 loss=1.3654 dt_sec=0.75 cum_wall_sec=13.6
