20:44:37 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T20:44:37.229295+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=13__ee9a830db8c3a8ee
20:44:37 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.1595 constant_prediction=True — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
20:44:37 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
20:44:37 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:44:37 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:44:37.346913+00:00 n=2000 n_classes=2
20:44:40 | INFO    | src.training.finetune | STEP step=10 loss=2.4881 dt_sec=0.84 cum_wall_sec=0.8
20:44:41 | INFO    | src.training.finetune | STEP step=20 loss=1.7273 dt_sec=0.78 cum_wall_sec=1.6
20:44:42 | INFO    | src.training.finetune | STEP step=30 loss=1.2348 dt_sec=0.78 cum_wall_sec=2.4
20:44:43 | INFO    | src.training.finetune | STEP step=40 loss=1.2634 dt_sec=0.78 cum_wall_sec=3.2
20:44:44 | INFO    | src.training.finetune | STEP step=50 loss=1.3063 dt_sec=0.78 cum_wall_sec=3.9
20:44:44 | INFO    | src.training.finetune | STEP step=60 loss=1.4062 dt_sec=0.77 cum_wall_sec=4.7
20:44:45 | INFO    | src.training.finetune | STEP step=70 loss=1.2441 dt_sec=0.78 cum_wall_sec=5.5
20:44:46 | INFO    | src.training.finetune | STEP step=80 loss=1.1188 dt_sec=0.78 cum_wall_sec=6.3
20:44:47 | INFO    | src.training.finetune | STEP step=90 loss=1.3637 dt_sec=0.78 cum_wall_sec=7.1
20:44:47 | INFO    | src.training.finetune | STEP step=100 loss=1.4497 dt_sec=0.78 cum_wall_sec=7.8
20:44:48 | INFO    | src.training.finetune | STEP step=110 loss=1.2221 dt_sec=0.77 cum_wall_sec=8.6
20:44:49 | INFO    | src.training.finetune | STEP step=120 loss=1.2779 dt_sec=0.77 cum_wall_sec=9.4
20:44:50 | INFO    | src.training.finetune | STEP step=130 loss=1.2224 dt_sec=0.77 cum_wall_sec=10.1
20:44:50 | INFO    | src.training.finetune | STEP step=140 loss=1.2008 dt_sec=0.77 cum_wall_sec=10.9
20:44:51 | INFO    | src.training.finetune | STEP step=150 loss=1.3623 dt_sec=0.77 cum_wall_sec=11.7
20:44:52 | INFO    | src.training.finetune | STEP step=160 loss=1.1567 dt_sec=0.78 cum_wall_sec=12.5
20:44:53 | INFO    | src.training.finetune | STEP step=170 loss=1.1067 dt_sec=0.77 cum_wall_sec=13.2
20:44:54 | INFO    | src.training.finetune | STEP step=180 loss=1.2053 dt_sec=0.78 cum_wall_sec=14.0
20:44:54 | INFO    | src.training.finetune | STEP step=190 loss=1.0162 dt_sec=0.77 cum_wall_sec=14.8
20:44:55 | INFO    | src.training.finetune | STEP step=200 loss=1.2967 dt_sec=0.79 cum_wall_sec=15.6
20:44:59 | INFO    | src.training.finetune | STEP step=210 loss=1.1535 dt_sec=3.59 cum_wall_sec=19.2
20:45:00 | INFO    | src.training.finetune | STEP step=220 loss=1.1964 dt_sec=0.77 cum_wall_sec=19.9
20:45:00 | INFO    | src.training.finetune | STEP step=230 loss=1.0863 dt_sec=0.78 cum_wall_sec=20.7
20:45:01 | INFO    | src.training.finetune | STEP step=240 loss=1.0004 dt_sec=0.78 cum_wall_sec=21.5
20:45:02 | INFO    | src.training.finetune | STEP step=250 loss=1.1237 dt_sec=0.79 cum_wall_sec=22.3
20:45:03 | INFO    | src.training.finetune | STEP step=260 loss=1.1294 dt_sec=0.77 cum_wall_sec=23.1
20:45:03 | INFO    | src.training.finetune | STEP step=270 loss=0.9231 dt_sec=0.77 cum_wall_sec=23.8
20:45:04 | INFO    | src.training.finetune | STEP step=280 loss=1.0105 dt_sec=0.78 cum_wall_sec=24.6
20:45:05 | INFO    | src.training.finetune | STEP step=290 loss=0.9535 dt_sec=0.77 cum_wall_sec=25.4
20:45:06 | INFO    | src.training.finetune | STEP step=300 loss=1.0911 dt_sec=0.77 cum_wall_sec=26.2
20:45:07 | INFO    | src.training.finetune | STEP step=310 loss=0.9689 dt_sec=0.79 cum_wall_sec=26.9
20:45:07 | INFO    | src.training.finetune | STEP step=320 loss=0.9525 dt_sec=0.78 cum_wall_sec=27.7
20:45:08 | INFO    | src.training.finetune | STEP step=330 loss=0.9429 dt_sec=0.77 cum_wall_sec=28.5
20:45:09 | INFO    | src.training.finetune | STEP step=340 loss=0.9352 dt_sec=0.79 cum_wall_sec=29.3
20:45:10 | INFO    | src.training.finetune | STEP step=350 loss=0.8651 dt_sec=0.79 cum_wall_sec=30.1
20:45:10 | INFO    | src.training.finetune | STEP step=360 loss=0.9438 dt_sec=0.78 cum_wall_sec=30.8
20:45:11 | INFO    | src.training.finetune | STEP step=370 loss=1.0136 dt_sec=0.77 cum_wall_sec=31.6
20:45:12 | INFO    | src.training.finetune | STEP step=380 loss=0.9278 dt_sec=0.76 cum_wall_sec=32.4
20:45:13 | INFO    | src.training.finetune | STEP step=390 loss=0.8557 dt_sec=0.79 cum_wall_sec=33.2
20:45:14 | INFO    | src.training.finetune | STEP step=400 loss=0.9548 dt_sec=0.78 cum_wall_sec=34.0
20:45:17 | INFO    | src.training.finetune | STEP step=410 loss=0.9168 dt_sec=3.59 cum_wall_sec=37.5
20:45:18 | INFO    | src.training.finetune | STEP step=420 loss=0.8195 dt_sec=0.77 cum_wall_sec=38.3
20:45:19 | INFO    | src.training.finetune | STEP step=430 loss=0.7986 dt_sec=0.76 cum_wall_sec=39.1
20:45:19 | INFO    | src.training.finetune | STEP step=440 loss=0.8698 dt_sec=0.77 cum_wall_sec=39.9
20:45:20 | INFO    | src.training.finetune | STEP step=450 loss=0.8018 dt_sec=0.77 cum_wall_sec=40.6
20:45:21 | INFO    | src.training.finetune | STEP step=460 loss=0.7972 dt_sec=0.77 cum_wall_sec=41.4
20:45:22 | INFO    | src.training.finetune | STEP step=470 loss=0.8869 dt_sec=0.78 cum_wall_sec=42.2
20:45:23 | INFO    | src.training.finetune | STEP step=480 loss=0.8834 dt_sec=0.79 cum_wall_sec=43.0
20:45:23 | INFO    | src.training.finetune | STEP step=490 loss=0.8069 dt_sec=0.77 cum_wall_sec=43.7
20:45:24 | INFO    | src.training.finetune | STEP step=500 loss=0.8047 dt_sec=0.77 cum_wall_sec=44.5
20:45:25 | INFO    | src.training.finetune | STEP step=510 loss=0.7713 dt_sec=0.77 cum_wall_sec=45.3
20:45:26 | INFO    | src.training.finetune | STEP step=520 loss=0.8118 dt_sec=0.78 cum_wall_sec=46.1
20:45:26 | INFO    | src.training.finetune | STEP step=530 loss=0.7963 dt_sec=0.78 cum_wall_sec=46.8
20:45:27 | INFO    | src.training.finetune | STEP step=540 loss=0.8755 dt_sec=0.78 cum_wall_sec=47.6
20:45:28 | INFO    | src.training.finetune | STEP step=550 loss=0.8214 dt_sec=0.78 cum_wall_sec=48.4
20:45:29 | INFO    | src.training.finetune | STEP step=560 loss=0.8724 dt_sec=0.78 cum_wall_sec=49.2
20:45:30 | INFO    | src.training.finetune | STEP step=570 loss=0.8111 dt_sec=0.77 cum_wall_sec=49.9
20:45:30 | INFO    | src.training.finetune | STEP step=580 loss=0.8192 dt_sec=0.78 cum_wall_sec=50.7
20:45:31 | INFO    | src.training.finetune | STEP step=590 loss=0.7646 dt_sec=0.78 cum_wall_sec=51.5
20:45:32 | INFO    | src.training.finetune | STEP step=600 loss=0.8273 dt_sec=0.79 cum_wall_sec=52.3
20:45:36 | INFO    | src.training.finetune | STEP step=610 loss=0.7600 dt_sec=3.78 cum_wall_sec=56.1
20:45:36 | INFO    | src.training.finetune | STEP step=620 loss=0.7459 dt_sec=0.78 cum_wall_sec=56.8
20:45:37 | INFO    | src.training.finetune | STEP step=630 loss=0.7716 dt_sec=0.77 cum_wall_sec=57.6
20:45:38 | INFO    | src.training.finetune | STEP step=640 loss=0.7583 dt_sec=0.79 cum_wall_sec=58.4
20:45:39 | INFO    | src.training.finetune | STEP step=650 loss=0.7326 dt_sec=0.78 cum_wall_sec=59.2
20:45:40 | INFO    | src.training.finetune | STEP step=660 loss=0.7458 dt_sec=0.77 cum_wall_sec=59.9
20:45:40 | INFO    | src.training.finetune | STEP step=670 loss=0.8077 dt_sec=0.78 cum_wall_sec=60.7
20:45:41 | INFO    | src.training.finetune | STEP step=680 loss=0.7656 dt_sec=0.77 cum_wall_sec=61.5
20:45:42 | INFO    | src.training.finetune | STEP step=690 loss=0.7731 dt_sec=0.77 cum_wall_sec=62.3
20:45:43 | INFO    | src.training.finetune | STEP step=700 loss=0.7791 dt_sec=0.76 cum_wall_sec=63.0
20:45:43 | INFO    | src.training.finetune | STEP step=710 loss=0.7865 dt_sec=0.77 cum_wall_sec=63.8
20:45:44 | INFO    | src.training.finetune | STEP step=720 loss=0.7479 dt_sec=0.78 cum_wall_sec=64.6
20:45:45 | INFO    | src.training.finetune | STEP step=730 loss=0.7742 dt_sec=0.78 cum_wall_sec=65.4
20:45:46 | INFO    | src.training.finetune | STEP step=740 loss=0.8091 dt_sec=0.78 cum_wall_sec=66.1
20:45:46 | INFO    | src.training.finetune | STEP step=750 loss=0.8005 dt_sec=0.78 cum_wall_sec=66.9
20:45:47 | INFO    | src.training.finetune | STEP step=760 loss=0.7500 dt_sec=0.77 cum_wall_sec=67.7
20:45:48 | INFO    | src.training.finetune | STEP step=770 loss=0.7301 dt_sec=0.79 cum_wall_sec=68.5
20:45:49 | INFO    | src.training.finetune | STEP step=780 loss=0.7701 dt_sec=0.77 cum_wall_sec=69.2
20:45:50 | INFO    | src.training.finetune | STEP step=790 loss=0.8645 dt_sec=0.79 cum_wall_sec=70.0
20:45:50 | INFO    | src.training.finetune | STEP step=800 loss=0.8135 dt_sec=0.78 cum_wall_sec=70.8
20:45:54 | INFO    | src.training.finetune | STEP step=810 loss=0.7636 dt_sec=3.79 cum_wall_sec=74.6
20:45:55 | INFO    | src.training.finetune | STEP step=820 loss=0.7366 dt_sec=0.77 cum_wall_sec=75.4
20:45:56 | INFO    | src.training.finetune | STEP step=830 loss=0.7780 dt_sec=0.78 cum_wall_sec=76.1
20:45:57 | INFO    | src.training.finetune | STEP step=840 loss=0.7478 dt_sec=0.78 cum_wall_sec=76.9
20:45:57 | INFO    | src.training.finetune | STEP step=850 loss=0.7389 dt_sec=0.75 cum_wall_sec=77.7
20:45:58 | INFO    | src.training.finetune | STEP step=860 loss=0.7324 dt_sec=0.75 cum_wall_sec=78.4
20:45:59 | INFO    | src.training.finetune | STEP step=870 loss=0.7132 dt_sec=0.76 cum_wall_sec=79.2
20:46:00 | INFO    | src.training.finetune | STEP step=880 loss=0.7596 dt_sec=0.75 cum_wall_sec=79.9
20:46:00 | INFO    | src.training.finetune | STEP step=890 loss=0.7441 dt_sec=0.75 cum_wall_sec=80.7
20:46:01 | INFO    | src.training.finetune | STEP step=900 loss=0.7706 dt_sec=0.75 cum_wall_sec=81.4
20:46:02 | INFO    | src.training.finetune | STEP step=910 loss=0.7658 dt_sec=0.76 cum_wall_sec=82.2
20:46:03 | INFO    | src.training.finetune | STEP step=920 loss=0.7378 dt_sec=0.75 cum_wall_sec=82.9
20:46:03 | INFO    | src.training.finetune | STEP step=930 loss=0.7330 dt_sec=0.75 cum_wall_sec=83.7
20:46:04 | INFO    | src.training.finetune | STEP step=940 loss=0.7466 dt_sec=0.76 cum_wall_sec=84.5
20:46:05 | INFO    | src.training.finetune | STEP step=950 loss=0.7279 dt_sec=0.76 cum_wall_sec=85.2
20:46:06 | INFO    | src.training.finetune | STEP step=960 loss=0.7365 dt_sec=0.75 cum_wall_sec=86.0
20:46:06 | INFO    | src.training.finetune | STEP step=970 loss=0.7349 dt_sec=0.75 cum_wall_sec=86.7
20:46:07 | INFO    | src.training.finetune | STEP step=980 loss=0.7437 dt_sec=0.75 cum_wall_sec=87.5
20:46:08 | INFO    | src.training.finetune | STEP step=990 loss=0.7871 dt_sec=0.75 cum_wall_sec=88.2
20:46:09 | INFO    | src.training.finetune | STEP step=1000 loss=0.7708 dt_sec=0.75 cum_wall_sec=89.0
20:46:12 | INFO    | src.training.finetune | STEP step=1010 loss=0.7208 dt_sec=3.72 cum_wall_sec=92.7
20:46:13 | INFO    | src.training.finetune | STEP step=1020 loss=0.7483 dt_sec=0.75 cum_wall_sec=93.4
20:46:14 | INFO    | src.training.finetune | STEP step=1030 loss=0.7231 dt_sec=0.75 cum_wall_sec=94.2
20:46:15 | INFO    | src.training.finetune | STEP step=1040 loss=0.7282 dt_sec=0.75 cum_wall_sec=94.9
20:46:15 | INFO    | src.training.finetune | STEP step=1050 loss=0.7216 dt_sec=0.75 cum_wall_sec=95.7
20:46:16 | INFO    | src.training.finetune | STEP step=1060 loss=0.7108 dt_sec=0.75 cum_wall_sec=96.4
20:46:17 | INFO    | src.training.finetune | STEP step=1070 loss=0.7954 dt_sec=0.76 cum_wall_sec=97.2
20:46:18 | INFO    | src.training.finetune | STEP step=1080 loss=0.7520 dt_sec=0.75 cum_wall_sec=98.0
20:46:18 | INFO    | src.training.finetune | STEP step=1090 loss=0.7232 dt_sec=0.75 cum_wall_sec=98.7
20:46:19 | INFO    | src.training.finetune | STEP step=1100 loss=0.7695 dt_sec=0.75 cum_wall_sec=99.4
20:46:20 | INFO    | src.training.finetune | STEP step=1110 loss=0.7684 dt_sec=0.76 cum_wall_sec=100.2
20:46:21 | INFO    | src.training.finetune | STEP step=1120 loss=0.7739 dt_sec=0.74 cum_wall_sec=101.0
20:46:21 | INFO    | src.training.finetune | STEP step=1130 loss=0.7609 dt_sec=0.75 cum_wall_sec=101.7
20:46:22 | INFO    | src.training.finetune | STEP step=1140 loss=0.7250 dt_sec=0.73 cum_wall_sec=102.4
20:46:23 | INFO    | src.training.finetune | STEP step=1150 loss=0.7456 dt_sec=0.76 cum_wall_sec=103.2
20:46:24 | INFO    | src.training.finetune | STEP step=1160 loss=0.7226 dt_sec=0.76 cum_wall_sec=104.0
20:46:24 | INFO    | src.training.finetune | STEP step=1170 loss=0.7285 dt_sec=0.75 cum_wall_sec=104.7
20:46:25 | INFO    | src.training.finetune | STEP step=1180 loss=0.7038 dt_sec=0.74 cum_wall_sec=105.4
20:46:26 | INFO    | src.training.finetune | STEP step=1190 loss=0.7424 dt_sec=0.76 cum_wall_sec=106.2
20:46:27 | INFO    | src.training.finetune | STEP step=1200 loss=0.7128 dt_sec=0.75 cum_wall_sec=106.9
20:46:31 | INFO    | src.training.finetune | STEP step=1210 loss=0.7155 dt_sec=4.38 cum_wall_sec=111.3
20:46:32 | INFO    | src.training.finetune | STEP step=1220 loss=0.7341 dt_sec=0.75 cum_wall_sec=112.1
20:46:32 | INFO    | src.training.finetune | STEP step=1230 loss=0.7691 dt_sec=0.75 cum_wall_sec=112.8
20:46:33 | INFO    | src.training.finetune | STEP step=1240 loss=0.7386 dt_sec=0.75 cum_wall_sec=113.6
20:46:34 | INFO    | src.training.finetune | STEP step=1250 loss=0.7011 dt_sec=0.75 cum_wall_sec=114.3
20:46:35 | INFO    | src.training.finetune | STEP step=1260 loss=0.7103 dt_sec=0.74 cum_wall_sec=115.1
20:46:35 | INFO    | src.training.finetune | STEP step=1270 loss=0.7135 dt_sec=0.75 cum_wall_sec=115.8
20:46:36 | INFO    | src.training.finetune | STEP step=1280 loss=0.7105 dt_sec=0.76 cum_wall_sec=116.6
20:46:37 | INFO    | src.training.finetune | STEP step=1290 loss=0.7274 dt_sec=0.74 cum_wall_sec=117.3
20:46:38 | INFO    | src.training.finetune | STEP step=1300 loss=0.7175 dt_sec=0.74 cum_wall_sec=118.1
20:46:38 | INFO    | src.training.finetune | STEP step=1310 loss=0.7322 dt_sec=0.75 cum_wall_sec=118.8
20:46:39 | INFO    | src.training.finetune | STEP step=1320 loss=0.7027 dt_sec=0.76 cum_wall_sec=119.6
20:46:40 | INFO    | src.training.finetune | STEP step=1330 loss=0.7376 dt_sec=0.74 cum_wall_sec=120.3
