20:47:53 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T20:47:53.710496+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=7__64929edc857f96c7
20:47:53 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
20:47:53 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:47:53 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:47:53.804709+00:00 n=2000 n_classes=2
20:47:57 | INFO    | src.training.finetune | STEP step=10 loss=1.2125 dt_sec=0.87 cum_wall_sec=0.9
20:47:58 | INFO    | src.training.finetune | STEP step=20 loss=0.9373 dt_sec=0.79 cum_wall_sec=1.7
20:47:59 | INFO    | src.training.finetune | STEP step=30 loss=0.9908 dt_sec=0.79 cum_wall_sec=2.5
20:47:59 | INFO    | src.training.finetune | STEP step=40 loss=0.9893 dt_sec=0.79 cum_wall_sec=3.2
20:48:00 | INFO    | src.training.finetune | STEP step=50 loss=0.9905 dt_sec=0.79 cum_wall_sec=4.0
20:48:01 | INFO    | src.training.finetune | STEP step=60 loss=1.1148 dt_sec=0.78 cum_wall_sec=4.8
20:48:02 | INFO    | src.training.finetune | STEP step=70 loss=1.0287 dt_sec=0.78 cum_wall_sec=5.6
20:48:02 | INFO    | src.training.finetune | STEP step=80 loss=1.0876 dt_sec=0.78 cum_wall_sec=6.4
20:48:03 | INFO    | src.training.finetune | STEP step=90 loss=0.9172 dt_sec=0.79 cum_wall_sec=7.2
20:48:04 | INFO    | src.training.finetune | STEP step=100 loss=0.9061 dt_sec=0.79 cum_wall_sec=8.0
20:48:05 | INFO    | src.training.finetune | STEP step=110 loss=0.9826 dt_sec=0.78 cum_wall_sec=8.7
20:48:06 | INFO    | src.training.finetune | STEP step=120 loss=1.0334 dt_sec=0.79 cum_wall_sec=9.5
20:48:06 | INFO    | src.training.finetune | STEP step=130 loss=0.9921 dt_sec=0.78 cum_wall_sec=10.3
20:48:07 | INFO    | src.training.finetune | STEP step=140 loss=1.0488 dt_sec=0.80 cum_wall_sec=11.1
20:48:08 | INFO    | src.training.finetune | STEP step=150 loss=1.2006 dt_sec=0.78 cum_wall_sec=11.9
20:48:09 | INFO    | src.training.finetune | STEP step=160 loss=1.0824 dt_sec=0.78 cum_wall_sec=12.7
20:48:10 | INFO    | src.training.finetune | STEP step=170 loss=0.9440 dt_sec=0.77 cum_wall_sec=13.4
20:48:10 | INFO    | src.training.finetune | STEP step=180 loss=1.1526 dt_sec=0.78 cum_wall_sec=14.2
20:48:11 | INFO    | src.training.finetune | STEP step=190 loss=0.9886 dt_sec=0.78 cum_wall_sec=15.0
20:48:12 | INFO    | src.training.finetune | STEP step=200 loss=0.8065 dt_sec=0.79 cum_wall_sec=15.8
20:48:16 | INFO    | src.training.finetune | STEP step=210 loss=0.7713 dt_sec=3.68 cum_wall_sec=19.5
20:48:16 | INFO    | src.training.finetune | STEP step=220 loss=0.8783 dt_sec=0.80 cum_wall_sec=20.3
20:48:17 | INFO    | src.training.finetune | STEP step=230 loss=0.8119 dt_sec=0.80 cum_wall_sec=21.1
20:48:18 | INFO    | src.training.finetune | STEP step=240 loss=1.1245 dt_sec=0.78 cum_wall_sec=21.9
20:48:19 | INFO    | src.training.finetune | STEP step=250 loss=1.1594 dt_sec=0.78 cum_wall_sec=22.6
20:48:20 | INFO    | src.training.finetune | STEP step=260 loss=1.0723 dt_sec=0.79 cum_wall_sec=23.4
20:48:20 | INFO    | src.training.finetune | STEP step=270 loss=0.8318 dt_sec=0.77 cum_wall_sec=24.2
20:48:21 | INFO    | src.training.finetune | STEP step=280 loss=0.7529 dt_sec=0.78 cum_wall_sec=25.0
20:48:22 | INFO    | src.training.finetune | STEP step=290 loss=0.6740 dt_sec=0.80 cum_wall_sec=25.8
20:48:23 | INFO    | src.training.finetune | STEP step=300 loss=0.9253 dt_sec=0.78 cum_wall_sec=26.6
20:48:23 | INFO    | src.training.finetune | STEP step=310 loss=1.0869 dt_sec=0.79 cum_wall_sec=27.4
20:48:24 | INFO    | src.training.finetune | STEP step=320 loss=0.9774 dt_sec=0.78 cum_wall_sec=28.1
20:48:25 | INFO    | src.training.finetune | STEP step=330 loss=0.6045 dt_sec=0.78 cum_wall_sec=28.9
20:48:26 | INFO    | src.training.finetune | STEP step=340 loss=0.6988 dt_sec=0.79 cum_wall_sec=29.7
20:48:27 | INFO    | src.training.finetune | STEP step=350 loss=0.6420 dt_sec=0.79 cum_wall_sec=30.5
20:48:27 | INFO    | src.training.finetune | STEP step=360 loss=0.8310 dt_sec=0.79 cum_wall_sec=31.3
20:48:28 | INFO    | src.training.finetune | STEP step=370 loss=0.6740 dt_sec=0.78 cum_wall_sec=32.1
20:48:29 | INFO    | src.training.finetune | STEP step=380 loss=0.5279 dt_sec=0.77 cum_wall_sec=32.8
20:48:30 | INFO    | src.training.finetune | STEP step=390 loss=0.4824 dt_sec=0.78 cum_wall_sec=33.6
20:48:31 | INFO    | src.training.finetune | STEP step=400 loss=0.4406 dt_sec=0.77 cum_wall_sec=34.4
20:48:34 | INFO    | src.training.finetune | STEP step=410 loss=0.5170 dt_sec=3.74 cum_wall_sec=38.1
20:48:35 | INFO    | src.training.finetune | STEP step=420 loss=0.5591 dt_sec=0.78 cum_wall_sec=38.9
20:48:36 | INFO    | src.training.finetune | STEP step=430 loss=0.7439 dt_sec=0.80 cum_wall_sec=39.7
