00:16:03 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:16:03.200015+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=1337__9353236741a76510
00:16:03 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:16:03 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:16:03 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:16:03.308161+00:00 n=500 n_classes=2
00:16:06 | INFO    | src.training.finetune | STEP step=10 loss=1.0054 dt_sec=0.89 cum_wall_sec=0.9
00:16:07 | INFO    | src.training.finetune | STEP step=20 loss=0.9915 dt_sec=0.83 cum_wall_sec=1.7
00:16:07 | INFO    | src.training.finetune | STEP step=30 loss=0.9415 dt_sec=0.84 cum_wall_sec=2.6
00:16:08 | INFO    | src.training.finetune | STEP step=40 loss=0.9704 dt_sec=0.84 cum_wall_sec=3.4
00:16:09 | INFO    | src.training.finetune | STEP step=50 loss=0.9246 dt_sec=0.82 cum_wall_sec=4.2
00:16:10 | INFO    | src.training.finetune | STEP step=60 loss=0.9709 dt_sec=0.83 cum_wall_sec=5.0
00:16:11 | INFO    | src.training.finetune | STEP step=70 loss=0.8502 dt_sec=0.83 cum_wall_sec=5.9
00:16:12 | INFO    | src.training.finetune | STEP step=80 loss=0.8609 dt_sec=0.82 cum_wall_sec=6.7
00:16:12 | INFO    | src.training.finetune | STEP step=90 loss=0.8932 dt_sec=0.83 cum_wall_sec=7.5
00:16:13 | INFO    | src.training.finetune | STEP step=100 loss=0.9286 dt_sec=0.83 cum_wall_sec=8.4
00:16:14 | INFO    | src.training.finetune | STEP step=110 loss=0.8484 dt_sec=0.83 cum_wall_sec=9.2
00:16:15 | INFO    | src.training.finetune | STEP step=120 loss=0.8359 dt_sec=0.84 cum_wall_sec=10.0
00:16:16 | INFO    | src.training.finetune | STEP step=130 loss=0.8405 dt_sec=0.82 cum_wall_sec=10.8
00:16:17 | INFO    | src.training.finetune | STEP step=140 loss=0.7822 dt_sec=0.82 cum_wall_sec=11.7
00:16:17 | INFO    | src.training.finetune | STEP step=150 loss=0.9660 dt_sec=0.83 cum_wall_sec=12.5
00:16:18 | INFO    | src.training.finetune | STEP step=160 loss=0.9304 dt_sec=0.83 cum_wall_sec=13.3
00:16:19 | INFO    | src.training.finetune | STEP step=170 loss=0.7956 dt_sec=0.83 cum_wall_sec=14.2
00:16:20 | INFO    | src.training.finetune | STEP step=180 loss=1.0047 dt_sec=0.83 cum_wall_sec=15.0
00:16:21 | INFO    | src.training.finetune | STEP step=190 loss=1.2345 dt_sec=0.83 cum_wall_sec=15.8
00:16:22 | INFO    | src.training.finetune | STEP step=200 loss=0.6357 dt_sec=0.82 cum_wall_sec=16.6
00:16:25 | INFO    | src.training.finetune | STEP step=210 loss=0.9125 dt_sec=3.63 cum_wall_sec=20.3
00:16:26 | INFO    | src.training.finetune | STEP step=220 loss=0.4079 dt_sec=0.83 cum_wall_sec=21.1
00:16:27 | INFO    | src.training.finetune | STEP step=230 loss=0.5572 dt_sec=0.84 cum_wall_sec=21.9
00:16:28 | INFO    | src.training.finetune | STEP step=240 loss=0.5685 dt_sec=0.83 cum_wall_sec=22.8
00:16:28 | INFO    | src.training.finetune | STEP step=250 loss=0.3019 dt_sec=0.83 cum_wall_sec=23.6
00:16:29 | INFO    | src.training.finetune | STEP step=260 loss=0.3569 dt_sec=0.83 cum_wall_sec=24.4
00:16:30 | INFO    | src.training.finetune | STEP step=270 loss=0.6042 dt_sec=0.83 cum_wall_sec=25.3
00:16:31 | INFO    | src.training.finetune | STEP step=280 loss=0.1309 dt_sec=0.82 cum_wall_sec=26.1
00:16:32 | INFO    | src.training.finetune | STEP step=290 loss=0.3599 dt_sec=0.82 cum_wall_sec=26.9
00:16:33 | INFO    | src.training.finetune | STEP step=300 loss=0.2742 dt_sec=0.83 cum_wall_sec=27.7
00:16:33 | INFO    | src.training.finetune | STEP step=310 loss=0.1907 dt_sec=0.84 cum_wall_sec=28.6
00:16:34 | INFO    | src.training.finetune | STEP step=320 loss=0.1334 dt_sec=0.83 cum_wall_sec=29.4
00:16:35 | INFO    | src.training.finetune | STEP step=330 loss=0.2852 dt_sec=0.84 cum_wall_sec=30.2
00:16:36 | INFO    | src.training.finetune | STEP step=340 loss=0.2053 dt_sec=0.83 cum_wall_sec=31.1
00:16:37 | INFO    | src.training.finetune | STEP step=350 loss=0.1097 dt_sec=0.83 cum_wall_sec=31.9
00:16:38 | INFO    | src.training.finetune | STEP step=360 loss=0.1545 dt_sec=0.81 cum_wall_sec=32.7
00:16:38 | INFO    | src.training.finetune | STEP step=370 loss=0.0628 dt_sec=0.83 cum_wall_sec=33.5
00:16:39 | INFO    | src.training.finetune | STEP step=380 loss=0.0785 dt_sec=0.85 cum_wall_sec=34.4
00:16:40 | INFO    | src.training.finetune | STEP step=390 loss=0.0678 dt_sec=0.82 cum_wall_sec=35.2
00:16:41 | INFO    | src.training.finetune | STEP step=400 loss=0.0882 dt_sec=0.83 cum_wall_sec=36.0
00:16:45 | INFO    | src.training.finetune | STEP step=410 loss=0.0930 dt_sec=3.80 cum_wall_sec=39.8
00:16:46 | INFO    | src.training.finetune | STEP step=420 loss=0.1010 dt_sec=0.83 cum_wall_sec=40.7
