00:26:24 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:26:24.891271+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=2024__3c07367b7ef3f521
00:26:24 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:26:24 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:26:24 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:26:24.977840+00:00 n=500 n_classes=2
00:26:27 | INFO    | src.training.finetune | STEP step=10 loss=1.2997 dt_sec=0.89 cum_wall_sec=0.9
00:26:28 | INFO    | src.training.finetune | STEP step=20 loss=1.0555 dt_sec=0.82 cum_wall_sec=1.7
00:26:29 | INFO    | src.training.finetune | STEP step=30 loss=1.0419 dt_sec=0.83 cum_wall_sec=2.5
00:26:30 | INFO    | src.training.finetune | STEP step=40 loss=0.9914 dt_sec=0.83 cum_wall_sec=3.4
00:26:31 | INFO    | src.training.finetune | STEP step=50 loss=1.0333 dt_sec=0.81 cum_wall_sec=4.2
00:26:32 | INFO    | src.training.finetune | STEP step=60 loss=0.9880 dt_sec=0.82 cum_wall_sec=5.0
00:26:32 | INFO    | src.training.finetune | STEP step=70 loss=0.9895 dt_sec=0.82 cum_wall_sec=5.8
00:26:33 | INFO    | src.training.finetune | STEP step=80 loss=1.0027 dt_sec=0.82 cum_wall_sec=6.6
00:26:34 | INFO    | src.training.finetune | STEP step=90 loss=1.0356 dt_sec=0.83 cum_wall_sec=7.5
00:26:35 | INFO    | src.training.finetune | STEP step=100 loss=1.1063 dt_sec=0.81 cum_wall_sec=8.3
00:26:36 | INFO    | src.training.finetune | STEP step=110 loss=1.0319 dt_sec=0.83 cum_wall_sec=9.1
00:26:36 | INFO    | src.training.finetune | STEP step=120 loss=0.9768 dt_sec=0.82 cum_wall_sec=9.9
