00:12:39 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:12:39.428542+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=42__8b332e500829d15e
00:12:39 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.1595 constant_prediction=True — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
00:12:39 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:12:39 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:12:39 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:12:39.513643+00:00 n=500 n_classes=2
00:12:42 | INFO    | src.training.finetune | STEP step=10 loss=1.9251 dt_sec=0.87 cum_wall_sec=0.9
00:12:43 | INFO    | src.training.finetune | STEP step=20 loss=1.3942 dt_sec=0.81 cum_wall_sec=1.7
00:12:44 | INFO    | src.training.finetune | STEP step=30 loss=1.2847 dt_sec=0.82 cum_wall_sec=2.5
00:12:44 | INFO    | src.training.finetune | STEP step=40 loss=1.0668 dt_sec=0.81 cum_wall_sec=3.3
00:12:45 | INFO    | src.training.finetune | STEP step=50 loss=0.9400 dt_sec=0.81 cum_wall_sec=4.1
00:12:46 | INFO    | src.training.finetune | STEP step=60 loss=1.0985 dt_sec=0.81 cum_wall_sec=4.9
00:12:47 | INFO    | src.training.finetune | STEP step=70 loss=1.1241 dt_sec=0.81 cum_wall_sec=5.7
00:12:48 | INFO    | src.training.finetune | STEP step=80 loss=1.1601 dt_sec=0.81 cum_wall_sec=6.5
00:12:48 | INFO    | src.training.finetune | STEP step=90 loss=1.1468 dt_sec=0.82 cum_wall_sec=7.4
00:12:49 | INFO    | src.training.finetune | STEP step=100 loss=1.0622 dt_sec=0.80 cum_wall_sec=8.2
00:12:50 | INFO    | src.training.finetune | STEP step=110 loss=1.1396 dt_sec=0.81 cum_wall_sec=9.0
00:12:51 | INFO    | src.training.finetune | STEP step=120 loss=1.0643 dt_sec=0.81 cum_wall_sec=9.8
00:12:52 | INFO    | src.training.finetune | STEP step=130 loss=1.0535 dt_sec=0.79 cum_wall_sec=10.6
00:12:52 | INFO    | src.training.finetune | STEP step=140 loss=1.0507 dt_sec=0.81 cum_wall_sec=11.4
00:12:53 | INFO    | src.training.finetune | STEP step=150 loss=1.0421 dt_sec=0.82 cum_wall_sec=12.2
00:12:54 | INFO    | src.training.finetune | STEP step=160 loss=1.1875 dt_sec=0.80 cum_wall_sec=13.0
00:12:55 | INFO    | src.training.finetune | STEP step=170 loss=1.0228 dt_sec=0.81 cum_wall_sec=13.8
00:12:56 | INFO    | src.training.finetune | STEP step=180 loss=1.1704 dt_sec=0.80 cum_wall_sec=14.6
00:12:56 | INFO    | src.training.finetune | STEP step=190 loss=1.0354 dt_sec=0.81 cum_wall_sec=15.4
