21:12:52 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T21:12:52.730413+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=scrambled__seed=1337__a87c31afdfa897fc
21:12:52 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.3764 constant_prediction=False — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
21:12:52 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
21:12:52 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
21:12:52 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T21:12:52.827222+00:00 n=2000 n_classes=2
21:12:56 | INFO    | src.training.finetune | STEP step=10 loss=1.1924 dt_sec=0.86 cum_wall_sec=0.9
21:12:57 | INFO    | src.training.finetune | STEP step=20 loss=1.0315 dt_sec=0.78 cum_wall_sec=1.6
21:12:58 | INFO    | src.training.finetune | STEP step=30 loss=1.0481 dt_sec=0.78 cum_wall_sec=2.4
21:12:58 | INFO    | src.training.finetune | STEP step=40 loss=1.0003 dt_sec=0.79 cum_wall_sec=3.2
21:12:59 | INFO    | src.training.finetune | STEP step=50 loss=1.1260 dt_sec=0.78 cum_wall_sec=4.0
21:13:00 | INFO    | src.training.finetune | STEP step=60 loss=1.0872 dt_sec=0.78 cum_wall_sec=4.8
21:13:01 | INFO    | src.training.finetune | STEP step=70 loss=1.1572 dt_sec=0.77 cum_wall_sec=5.6
21:13:01 | INFO    | src.training.finetune | STEP step=80 loss=1.1826 dt_sec=0.79 cum_wall_sec=6.3
21:13:02 | INFO    | src.training.finetune | STEP step=90 loss=1.1751 dt_sec=0.79 cum_wall_sec=7.1
21:13:03 | INFO    | src.training.finetune | STEP step=100 loss=1.1333 dt_sec=0.79 cum_wall_sec=7.9
21:13:04 | INFO    | src.training.finetune | STEP step=110 loss=1.0660 dt_sec=0.79 cum_wall_sec=8.7
21:13:05 | INFO    | src.training.finetune | STEP step=120 loss=1.1206 dt_sec=0.78 cum_wall_sec=9.5
21:13:05 | INFO    | src.training.finetune | STEP step=130 loss=1.0389 dt_sec=0.77 cum_wall_sec=10.3
21:13:06 | INFO    | src.training.finetune | STEP step=140 loss=1.0559 dt_sec=0.78 cum_wall_sec=11.0
21:13:07 | INFO    | src.training.finetune | STEP step=150 loss=1.0717 dt_sec=0.78 cum_wall_sec=11.8
21:13:08 | INFO    | src.training.finetune | STEP step=160 loss=1.0149 dt_sec=0.79 cum_wall_sec=12.6
21:13:08 | INFO    | src.training.finetune | STEP step=170 loss=1.0517 dt_sec=0.77 cum_wall_sec=13.4
21:13:09 | INFO    | src.training.finetune | STEP step=180 loss=0.9099 dt_sec=0.79 cum_wall_sec=14.2
21:13:10 | INFO    | src.training.finetune | STEP step=190 loss=0.9838 dt_sec=0.77 cum_wall_sec=14.9
21:13:11 | INFO    | src.training.finetune | STEP step=200 loss=1.0900 dt_sec=0.78 cum_wall_sec=15.7
21:13:14 | INFO    | src.training.finetune | STEP step=210 loss=1.0423 dt_sec=3.59 cum_wall_sec=19.3
21:13:15 | INFO    | src.training.finetune | STEP step=220 loss=0.9342 dt_sec=0.79 cum_wall_sec=20.1
21:13:16 | INFO    | src.training.finetune | STEP step=230 loss=0.9427 dt_sec=0.80 cum_wall_sec=20.9
21:13:17 | INFO    | src.training.finetune | STEP step=240 loss=1.0385 dt_sec=0.78 cum_wall_sec=21.7
21:13:18 | INFO    | src.training.finetune | STEP step=250 loss=1.0723 dt_sec=0.79 cum_wall_sec=22.5
21:13:18 | INFO    | src.training.finetune | STEP step=260 loss=1.1129 dt_sec=0.78 cum_wall_sec=23.3
21:13:19 | INFO    | src.training.finetune | STEP step=270 loss=0.9382 dt_sec=0.79 cum_wall_sec=24.0
21:13:20 | INFO    | src.training.finetune | STEP step=280 loss=0.9382 dt_sec=0.79 cum_wall_sec=24.8
21:13:21 | INFO    | src.training.finetune | STEP step=290 loss=0.9464 dt_sec=0.77 cum_wall_sec=25.6
21:13:21 | INFO    | src.training.finetune | STEP step=300 loss=0.9399 dt_sec=0.79 cum_wall_sec=26.4
21:13:22 | INFO    | src.training.finetune | STEP step=310 loss=0.9555 dt_sec=0.78 cum_wall_sec=27.2
21:13:23 | INFO    | src.training.finetune | STEP step=320 loss=0.8473 dt_sec=0.79 cum_wall_sec=28.0
21:13:24 | INFO    | src.training.finetune | STEP step=330 loss=0.8995 dt_sec=0.78 cum_wall_sec=28.7
21:13:25 | INFO    | src.training.finetune | STEP step=340 loss=0.9002 dt_sec=0.79 cum_wall_sec=29.5
21:13:25 | INFO    | src.training.finetune | STEP step=350 loss=0.9438 dt_sec=0.79 cum_wall_sec=30.3
21:13:26 | INFO    | src.training.finetune | STEP step=360 loss=0.8972 dt_sec=0.79 cum_wall_sec=31.1
21:13:27 | INFO    | src.training.finetune | STEP step=370 loss=0.7948 dt_sec=0.78 cum_wall_sec=31.9
21:13:28 | INFO    | src.training.finetune | STEP step=380 loss=0.9038 dt_sec=0.78 cum_wall_sec=32.7
21:13:29 | INFO    | src.training.finetune | STEP step=390 loss=0.9401 dt_sec=0.78 cum_wall_sec=33.5
21:13:29 | INFO    | src.training.finetune | STEP step=400 loss=0.8315 dt_sec=0.78 cum_wall_sec=34.2
21:13:33 | INFO    | src.training.finetune | STEP step=410 loss=0.9022 dt_sec=3.61 cum_wall_sec=37.9
21:13:34 | INFO    | src.training.finetune | STEP step=420 loss=0.8178 dt_sec=0.78 cum_wall_sec=38.6
21:13:35 | INFO    | src.training.finetune | STEP step=430 loss=0.7597 dt_sec=0.78 cum_wall_sec=39.4
21:13:35 | INFO    | src.training.finetune | STEP step=440 loss=0.8454 dt_sec=0.78 cum_wall_sec=40.2
21:13:36 | INFO    | src.training.finetune | STEP step=450 loss=0.7980 dt_sec=0.79 cum_wall_sec=41.0
21:13:37 | INFO    | src.training.finetune | STEP step=460 loss=0.8835 dt_sec=0.80 cum_wall_sec=41.8
21:13:38 | INFO    | src.training.finetune | STEP step=470 loss=0.7741 dt_sec=0.79 cum_wall_sec=42.6
21:13:38 | INFO    | src.training.finetune | STEP step=480 loss=0.8085 dt_sec=0.78 cum_wall_sec=43.3
21:13:39 | INFO    | src.training.finetune | STEP step=490 loss=0.8200 dt_sec=0.79 cum_wall_sec=44.1
21:13:40 | INFO    | src.training.finetune | STEP step=500 loss=0.9068 dt_sec=0.78 cum_wall_sec=44.9
21:13:41 | INFO    | src.training.finetune | STEP step=510 loss=0.8218 dt_sec=0.78 cum_wall_sec=45.7
21:13:42 | INFO    | src.training.finetune | STEP step=520 loss=0.8766 dt_sec=0.78 cum_wall_sec=46.5
21:13:42 | INFO    | src.training.finetune | STEP step=530 loss=0.8384 dt_sec=0.78 cum_wall_sec=47.3
21:13:43 | INFO    | src.training.finetune | STEP step=540 loss=0.8467 dt_sec=0.78 cum_wall_sec=48.0
21:13:44 | INFO    | src.training.finetune | STEP step=550 loss=0.8822 dt_sec=0.79 cum_wall_sec=48.8
21:13:45 | INFO    | src.training.finetune | STEP step=560 loss=0.8336 dt_sec=0.78 cum_wall_sec=49.6
21:13:45 | INFO    | src.training.finetune | STEP step=570 loss=0.7939 dt_sec=0.77 cum_wall_sec=50.4
