21:16:13 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T21:16:13.373485+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=scrambled__seed=13__8a84f781768ea351
21:16:13 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
21:16:13 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
21:16:13 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T21:16:13.468286+00:00 n=2000 n_classes=2
21:16:17 | INFO    | src.training.finetune | STEP step=10 loss=3.0327 dt_sec=0.82 cum_wall_sec=0.8
21:16:17 | INFO    | src.training.finetune | STEP step=20 loss=1.6682 dt_sec=0.76 cum_wall_sec=1.6
21:16:18 | INFO    | src.training.finetune | STEP step=30 loss=1.2926 dt_sec=0.75 cum_wall_sec=2.3
21:16:19 | INFO    | src.training.finetune | STEP step=40 loss=1.1894 dt_sec=0.76 cum_wall_sec=3.1
21:16:20 | INFO    | src.training.finetune | STEP step=50 loss=1.1989 dt_sec=0.75 cum_wall_sec=3.8
21:16:20 | INFO    | src.training.finetune | STEP step=60 loss=1.2622 dt_sec=0.75 cum_wall_sec=4.6
21:16:21 | INFO    | src.training.finetune | STEP step=70 loss=1.1609 dt_sec=0.75 cum_wall_sec=5.3
21:16:22 | INFO    | src.training.finetune | STEP step=80 loss=1.1773 dt_sec=0.76 cum_wall_sec=6.1
21:16:23 | INFO    | src.training.finetune | STEP step=90 loss=1.1909 dt_sec=0.76 cum_wall_sec=6.9
21:16:23 | INFO    | src.training.finetune | STEP step=100 loss=0.9740 dt_sec=0.76 cum_wall_sec=7.6
21:16:24 | INFO    | src.training.finetune | STEP step=110 loss=1.3224 dt_sec=0.75 cum_wall_sec=8.4
21:16:25 | INFO    | src.training.finetune | STEP step=120 loss=1.0433 dt_sec=0.75 cum_wall_sec=9.1
21:16:26 | INFO    | src.training.finetune | STEP step=130 loss=1.2759 dt_sec=0.75 cum_wall_sec=9.9
21:16:26 | INFO    | src.training.finetune | STEP step=140 loss=1.2357 dt_sec=0.75 cum_wall_sec=10.6
21:16:27 | INFO    | src.training.finetune | STEP step=150 loss=1.1720 dt_sec=0.75 cum_wall_sec=11.4
21:16:28 | INFO    | src.training.finetune | STEP step=160 loss=1.4197 dt_sec=0.76 cum_wall_sec=12.1
21:16:29 | INFO    | src.training.finetune | STEP step=170 loss=1.1872 dt_sec=0.75 cum_wall_sec=12.9
21:16:29 | INFO    | src.training.finetune | STEP step=180 loss=1.3353 dt_sec=0.76 cum_wall_sec=13.6
21:16:30 | INFO    | src.training.finetune | STEP step=190 loss=1.2330 dt_sec=0.74 cum_wall_sec=14.4
21:16:31 | INFO    | src.training.finetune | STEP step=200 loss=1.4361 dt_sec=0.77 cum_wall_sec=15.1
21:16:34 | INFO    | src.training.finetune | STEP step=210 loss=1.1991 dt_sec=3.59 cum_wall_sec=18.7
21:16:35 | INFO    | src.training.finetune | STEP step=220 loss=1.0921 dt_sec=0.74 cum_wall_sec=19.5
21:16:36 | INFO    | src.training.finetune | STEP step=230 loss=1.1908 dt_sec=0.76 cum_wall_sec=20.2
21:16:37 | INFO    | src.training.finetune | STEP step=240 loss=1.0207 dt_sec=0.75 cum_wall_sec=21.0
21:16:37 | INFO    | src.training.finetune | STEP step=250 loss=1.0334 dt_sec=0.76 cum_wall_sec=21.7
21:16:38 | INFO    | src.training.finetune | STEP step=260 loss=1.0371 dt_sec=0.74 cum_wall_sec=22.5
