21:19:31 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T21:19:31.132531+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=scrambled__seed=7__a056f9dd523e878e
21:19:31 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
21:19:31 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
21:19:31 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T21:19:31.282120+00:00 n=2000 n_classes=2
21:19:34 | INFO    | src.training.finetune | STEP step=10 loss=2.2622 dt_sec=0.85 cum_wall_sec=0.8
21:19:35 | INFO    | src.training.finetune | STEP step=20 loss=1.2899 dt_sec=0.79 cum_wall_sec=1.6
21:19:36 | INFO    | src.training.finetune | STEP step=30 loss=1.2938 dt_sec=0.80 cum_wall_sec=2.4
21:19:37 | INFO    | src.training.finetune | STEP step=40 loss=1.1345 dt_sec=0.79 cum_wall_sec=3.2
21:19:38 | INFO    | src.training.finetune | STEP step=50 loss=1.2165 dt_sec=0.79 cum_wall_sec=4.0
21:19:38 | INFO    | src.training.finetune | STEP step=60 loss=1.2041 dt_sec=0.79 cum_wall_sec=4.8
21:19:39 | INFO    | src.training.finetune | STEP step=70 loss=1.2163 dt_sec=0.79 cum_wall_sec=5.6
21:19:40 | INFO    | src.training.finetune | STEP step=80 loss=1.1505 dt_sec=0.78 cum_wall_sec=6.4
21:19:41 | INFO    | src.training.finetune | STEP step=90 loss=1.1065 dt_sec=0.79 cum_wall_sec=7.2
21:19:42 | INFO    | src.training.finetune | STEP step=100 loss=1.0759 dt_sec=0.79 cum_wall_sec=8.0
21:19:42 | INFO    | src.training.finetune | STEP step=110 loss=0.9965 dt_sec=0.79 cum_wall_sec=8.7
21:19:43 | INFO    | src.training.finetune | STEP step=120 loss=1.0881 dt_sec=0.79 cum_wall_sec=9.5
21:19:44 | INFO    | src.training.finetune | STEP step=130 loss=1.2014 dt_sec=0.78 cum_wall_sec=10.3
21:19:45 | INFO    | src.training.finetune | STEP step=140 loss=1.4543 dt_sec=0.80 cum_wall_sec=11.1
21:19:45 | INFO    | src.training.finetune | STEP step=150 loss=1.5093 dt_sec=0.79 cum_wall_sec=11.9
21:19:46 | INFO    | src.training.finetune | STEP step=160 loss=1.1056 dt_sec=0.78 cum_wall_sec=12.7
21:19:47 | INFO    | src.training.finetune | STEP step=170 loss=1.1646 dt_sec=0.77 cum_wall_sec=13.5
21:19:48 | INFO    | src.training.finetune | STEP step=180 loss=1.4954 dt_sec=0.78 cum_wall_sec=14.2
21:19:49 | INFO    | src.training.finetune | STEP step=190 loss=1.2325 dt_sec=0.78 cum_wall_sec=15.0
21:19:49 | INFO    | src.training.finetune | STEP step=200 loss=1.3147 dt_sec=0.79 cum_wall_sec=15.8
21:19:53 | INFO    | src.training.finetune | STEP step=210 loss=1.0975 dt_sec=3.64 cum_wall_sec=19.5
21:19:54 | INFO    | src.training.finetune | STEP step=220 loss=1.0177 dt_sec=0.78 cum_wall_sec=20.2
21:19:55 | INFO    | src.training.finetune | STEP step=230 loss=1.1499 dt_sec=0.79 cum_wall_sec=21.0
21:19:55 | INFO    | src.training.finetune | STEP step=240 loss=0.9570 dt_sec=0.78 cum_wall_sec=21.8
21:19:56 | INFO    | src.training.finetune | STEP step=250 loss=0.9708 dt_sec=0.78 cum_wall_sec=22.6
21:19:57 | INFO    | src.training.finetune | STEP step=260 loss=0.9789 dt_sec=0.80 cum_wall_sec=23.4
21:19:58 | INFO    | src.training.finetune | STEP step=270 loss=0.9761 dt_sec=0.77 cum_wall_sec=24.2
21:19:59 | INFO    | src.training.finetune | STEP step=280 loss=0.9192 dt_sec=0.79 cum_wall_sec=25.0
21:19:59 | INFO    | src.training.finetune | STEP step=290 loss=1.1812 dt_sec=0.80 cum_wall_sec=25.8
21:20:00 | INFO    | src.training.finetune | STEP step=300 loss=0.9308 dt_sec=0.79 cum_wall_sec=26.5
