00:59:09 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:59:09.195674+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=scrambled__seed=2024__2843afe347b8d52d
00:59:09 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:59:09 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:59:09 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:59:09.292245+00:00 n=500 n_classes=2
00:59:12 | INFO    | src.training.finetune | STEP step=10 loss=3.4415 dt_sec=0.88 cum_wall_sec=0.9
00:59:13 | INFO    | src.training.finetune | STEP step=20 loss=1.6087 dt_sec=0.81 cum_wall_sec=1.7
00:59:13 | INFO    | src.training.finetune | STEP step=30 loss=1.2393 dt_sec=0.82 cum_wall_sec=2.5
00:59:14 | INFO    | src.training.finetune | STEP step=40 loss=1.0236 dt_sec=0.82 cum_wall_sec=3.3
00:59:15 | INFO    | src.training.finetune | STEP step=50 loss=1.0772 dt_sec=0.80 cum_wall_sec=4.1
00:59:16 | INFO    | src.training.finetune | STEP step=60 loss=0.8851 dt_sec=0.81 cum_wall_sec=4.9
00:59:17 | INFO    | src.training.finetune | STEP step=70 loss=0.9807 dt_sec=0.81 cum_wall_sec=5.7
00:59:17 | INFO    | src.training.finetune | STEP step=80 loss=1.0420 dt_sec=0.81 cum_wall_sec=6.6
00:59:18 | INFO    | src.training.finetune | STEP step=90 loss=1.1782 dt_sec=0.84 cum_wall_sec=7.4
00:59:19 | INFO    | src.training.finetune | STEP step=100 loss=1.1767 dt_sec=0.83 cum_wall_sec=8.2
00:59:20 | INFO    | src.training.finetune | STEP step=110 loss=1.1362 dt_sec=0.85 cum_wall_sec=9.1
00:59:21 | INFO    | src.training.finetune | STEP step=120 loss=0.8818 dt_sec=0.83 cum_wall_sec=9.9
00:59:22 | INFO    | src.training.finetune | STEP step=130 loss=1.0120 dt_sec=0.82 cum_wall_sec=10.7
00:59:23 | INFO    | src.training.finetune | STEP step=140 loss=0.7329 dt_sec=0.84 cum_wall_sec=11.6
00:59:23 | INFO    | src.training.finetune | STEP step=150 loss=0.7574 dt_sec=0.82 cum_wall_sec=12.4
00:59:24 | INFO    | src.training.finetune | STEP step=160 loss=0.9791 dt_sec=0.82 cum_wall_sec=13.2
00:59:25 | INFO    | src.training.finetune | STEP step=170 loss=0.7066 dt_sec=0.83 cum_wall_sec=14.0
00:59:26 | INFO    | src.training.finetune | STEP step=180 loss=0.7017 dt_sec=0.84 cum_wall_sec=14.9
