00:45:28 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T00:45:28.275595+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=scrambled__seed=42__2a35e60fe57f5228
00:45:28 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.1595 constant_prediction=True — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
00:45:28 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
00:45:28 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
00:45:28 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T00:45:28.370128+00:00 n=500 n_classes=2
00:45:31 | INFO    | src.training.finetune | STEP step=10 loss=1.4301 dt_sec=0.91 cum_wall_sec=0.9
00:45:32 | INFO    | src.training.finetune | STEP step=20 loss=1.1753 dt_sec=0.81 cum_wall_sec=1.7
00:45:32 | INFO    | src.training.finetune | STEP step=30 loss=1.1710 dt_sec=0.82 cum_wall_sec=2.5
00:45:33 | INFO    | src.training.finetune | STEP step=40 loss=1.1008 dt_sec=0.81 cum_wall_sec=3.4
00:45:34 | INFO    | src.training.finetune | STEP step=50 loss=1.0257 dt_sec=0.82 cum_wall_sec=4.2
00:45:35 | INFO    | src.training.finetune | STEP step=60 loss=1.1334 dt_sec=0.82 cum_wall_sec=5.0
00:45:36 | INFO    | src.training.finetune | STEP step=70 loss=1.1779 dt_sec=0.81 cum_wall_sec=5.8
00:45:37 | INFO    | src.training.finetune | STEP step=80 loss=1.1707 dt_sec=0.82 cum_wall_sec=6.6
00:45:37 | INFO    | src.training.finetune | STEP step=90 loss=1.1926 dt_sec=0.83 cum_wall_sec=7.5
00:45:38 | INFO    | src.training.finetune | STEP step=100 loss=1.0947 dt_sec=0.81 cum_wall_sec=8.3
00:45:39 | INFO    | src.training.finetune | STEP step=110 loss=1.1444 dt_sec=0.82 cum_wall_sec=9.1
00:45:40 | INFO    | src.training.finetune | STEP step=120 loss=1.0887 dt_sec=0.82 cum_wall_sec=9.9
00:45:41 | INFO    | src.training.finetune | STEP step=130 loss=1.0852 dt_sec=0.80 cum_wall_sec=10.7
00:45:41 | INFO    | src.training.finetune | STEP step=140 loss=1.0781 dt_sec=0.82 cum_wall_sec=11.5
00:45:42 | INFO    | src.training.finetune | STEP step=150 loss=1.0496 dt_sec=0.83 cum_wall_sec=12.3
00:45:43 | INFO    | src.training.finetune | STEP step=160 loss=1.0908 dt_sec=0.81 cum_wall_sec=13.1
00:45:44 | INFO    | src.training.finetune | STEP step=170 loss=1.0183 dt_sec=0.83 cum_wall_sec=14.0
00:45:45 | INFO    | src.training.finetune | STEP step=180 loss=1.0360 dt_sec=0.81 cum_wall_sec=14.8
00:45:46 | INFO    | src.training.finetune | STEP step=190 loss=1.2615 dt_sec=0.82 cum_wall_sec=15.6
00:45:46 | INFO    | src.training.finetune | STEP step=200 loss=1.0507 dt_sec=0.81 cum_wall_sec=16.4
00:45:50 | INFO    | src.training.finetune | STEP step=210 loss=1.0204 dt_sec=3.68 cum_wall_sec=20.1
00:45:51 | INFO    | src.training.finetune | STEP step=220 loss=1.0728 dt_sec=0.82 cum_wall_sec=20.9
00:45:52 | INFO    | src.training.finetune | STEP step=230 loss=0.9659 dt_sec=0.82 cum_wall_sec=21.7
00:45:52 | INFO    | src.training.finetune | STEP step=240 loss=0.9885 dt_sec=0.81 cum_wall_sec=22.6
00:45:53 | INFO    | src.training.finetune | STEP step=250 loss=0.9293 dt_sec=0.82 cum_wall_sec=23.4
00:45:54 | INFO    | src.training.finetune | STEP step=260 loss=0.9367 dt_sec=0.82 cum_wall_sec=24.2
00:45:55 | INFO    | src.training.finetune | STEP step=270 loss=0.8896 dt_sec=0.82 cum_wall_sec=25.0
00:45:56 | INFO    | src.training.finetune | STEP step=280 loss=0.9086 dt_sec=0.80 cum_wall_sec=25.8
00:45:57 | INFO    | src.training.finetune | STEP step=290 loss=0.9491 dt_sec=0.83 cum_wall_sec=26.7
00:45:57 | INFO    | src.training.finetune | STEP step=300 loss=0.8885 dt_sec=0.82 cum_wall_sec=27.5
00:45:58 | INFO    | src.training.finetune | STEP step=310 loss=0.8276 dt_sec=0.82 cum_wall_sec=28.3
00:45:59 | INFO    | src.training.finetune | STEP step=320 loss=0.9788 dt_sec=0.81 cum_wall_sec=29.1
00:46:00 | INFO    | src.training.finetune | STEP step=330 loss=0.9161 dt_sec=0.82 cum_wall_sec=29.9
00:46:01 | INFO    | src.training.finetune | STEP step=340 loss=0.8459 dt_sec=0.82 cum_wall_sec=30.7
00:46:02 | INFO    | src.training.finetune | STEP step=350 loss=0.8567 dt_sec=0.83 cum_wall_sec=31.6
00:46:02 | INFO    | src.training.finetune | STEP step=360 loss=0.8833 dt_sec=0.81 cum_wall_sec=32.4
00:46:03 | INFO    | src.training.finetune | STEP step=370 loss=0.8779 dt_sec=0.81 cum_wall_sec=33.2
00:46:04 | INFO    | src.training.finetune | STEP step=380 loss=0.9045 dt_sec=0.83 cum_wall_sec=34.0
00:46:05 | INFO    | src.training.finetune | STEP step=390 loss=0.9017 dt_sec=0.81 cum_wall_sec=34.8
00:46:06 | INFO    | src.training.finetune | STEP step=400 loss=0.7802 dt_sec=0.82 cum_wall_sec=35.6
00:46:09 | INFO    | src.training.finetune | STEP step=410 loss=0.9160 dt_sec=3.80 cum_wall_sec=39.4
00:46:10 | INFO    | src.training.finetune | STEP step=420 loss=0.9065 dt_sec=0.82 cum_wall_sec=40.3
00:46:11 | INFO    | src.training.finetune | STEP step=430 loss=0.8990 dt_sec=0.82 cum_wall_sec=41.1
00:46:12 | INFO    | src.training.finetune | STEP step=440 loss=0.8276 dt_sec=0.82 cum_wall_sec=41.9
00:46:13 | INFO    | src.training.finetune | STEP step=450 loss=0.8074 dt_sec=0.80 cum_wall_sec=42.7
00:46:13 | INFO    | src.training.finetune | STEP step=460 loss=0.9588 dt_sec=0.82 cum_wall_sec=43.5
00:46:14 | INFO    | src.training.finetune | STEP step=470 loss=0.8245 dt_sec=0.82 cum_wall_sec=44.3
00:46:15 | INFO    | src.training.finetune | STEP step=480 loss=0.8406 dt_sec=0.82 cum_wall_sec=45.2
00:46:16 | INFO    | src.training.finetune | STEP step=490 loss=0.7768 dt_sec=0.82 cum_wall_sec=46.0
00:46:17 | INFO    | src.training.finetune | STEP step=500 loss=0.8177 dt_sec=0.81 cum_wall_sec=46.8
00:46:18 | INFO    | src.training.finetune | STEP step=510 loss=0.8242 dt_sec=0.81 cum_wall_sec=47.6
00:46:18 | INFO    | src.training.finetune | STEP step=520 loss=0.8171 dt_sec=0.82 cum_wall_sec=48.4
00:46:19 | INFO    | src.training.finetune | STEP step=530 loss=0.8019 dt_sec=0.81 cum_wall_sec=49.2
00:46:20 | INFO    | src.training.finetune | STEP step=540 loss=0.7633 dt_sec=0.82 cum_wall_sec=50.1
00:46:21 | INFO    | src.training.finetune | STEP step=550 loss=0.7299 dt_sec=0.82 cum_wall_sec=50.9
00:46:22 | INFO    | src.training.finetune | STEP step=560 loss=0.8007 dt_sec=0.81 cum_wall_sec=51.7
00:46:22 | INFO    | src.training.finetune | STEP step=570 loss=0.7838 dt_sec=0.83 cum_wall_sec=52.5
00:46:23 | INFO    | src.training.finetune | STEP step=580 loss=0.7714 dt_sec=0.81 cum_wall_sec=53.3
00:46:24 | INFO    | src.training.finetune | STEP step=590 loss=0.7851 dt_sec=0.82 cum_wall_sec=54.1
00:46:25 | INFO    | src.training.finetune | STEP step=600 loss=0.7492 dt_sec=0.81 cum_wall_sec=54.9
00:46:28 | INFO    | src.training.finetune | STEP step=610 loss=0.8045 dt_sec=3.61 cum_wall_sec=58.6
00:46:29 | INFO    | src.training.finetune | STEP step=620 loss=0.7776 dt_sec=0.81 cum_wall_sec=59.4
00:46:30 | INFO    | src.training.finetune | STEP step=630 loss=0.7619 dt_sec=0.82 cum_wall_sec=60.2
00:46:31 | INFO    | src.training.finetune | STEP step=640 loss=0.7837 dt_sec=0.80 cum_wall_sec=61.0
00:46:32 | INFO    | src.training.finetune | STEP step=650 loss=0.7813 dt_sec=0.82 cum_wall_sec=61.8
00:46:33 | INFO    | src.training.finetune | STEP step=660 loss=0.7285 dt_sec=0.80 cum_wall_sec=62.6
00:46:33 | INFO    | src.training.finetune | STEP step=670 loss=0.7792 dt_sec=0.83 cum_wall_sec=63.4
00:46:34 | INFO    | src.training.finetune | STEP step=680 loss=0.7509 dt_sec=0.82 cum_wall_sec=64.3
00:46:35 | INFO    | src.training.finetune | STEP step=690 loss=0.7634 dt_sec=0.82 cum_wall_sec=65.1
00:46:36 | INFO    | src.training.finetune | STEP step=700 loss=0.7473 dt_sec=0.82 cum_wall_sec=65.9
00:46:37 | INFO    | src.training.finetune | STEP step=710 loss=0.7957 dt_sec=0.81 cum_wall_sec=66.7
00:46:37 | INFO    | src.training.finetune | STEP step=720 loss=0.8514 dt_sec=0.81 cum_wall_sec=67.5
00:46:38 | INFO    | src.training.finetune | STEP step=730 loss=0.7588 dt_sec=0.83 cum_wall_sec=68.3
00:46:39 | INFO    | src.training.finetune | STEP step=740 loss=0.7487 dt_sec=0.79 cum_wall_sec=69.1
00:46:40 | INFO    | src.training.finetune | STEP step=750 loss=0.8761 dt_sec=0.78 cum_wall_sec=69.9
00:46:41 | INFO    | src.training.finetune | STEP step=760 loss=0.7796 dt_sec=0.78 cum_wall_sec=70.7
00:46:41 | INFO    | src.training.finetune | STEP step=770 loss=0.7582 dt_sec=0.78 cum_wall_sec=71.5
00:46:42 | INFO    | src.training.finetune | STEP step=780 loss=0.7763 dt_sec=0.78 cum_wall_sec=72.2
00:46:43 | INFO    | src.training.finetune | STEP step=790 loss=0.7525 dt_sec=0.78 cum_wall_sec=73.0
00:46:44 | INFO    | src.training.finetune | STEP step=800 loss=0.7750 dt_sec=0.78 cum_wall_sec=73.8
00:46:48 | INFO    | src.training.finetune | STEP step=810 loss=0.7582 dt_sec=3.98 cum_wall_sec=77.8
00:46:48 | INFO    | src.training.finetune | STEP step=820 loss=0.7051 dt_sec=0.78 cum_wall_sec=78.6
00:46:49 | INFO    | src.training.finetune | STEP step=830 loss=0.7194 dt_sec=0.78 cum_wall_sec=79.3
00:46:50 | INFO    | src.training.finetune | STEP step=840 loss=0.7823 dt_sec=0.79 cum_wall_sec=80.1
00:46:51 | INFO    | src.training.finetune | STEP step=850 loss=0.7409 dt_sec=0.77 cum_wall_sec=80.9
00:46:52 | INFO    | src.training.finetune | STEP step=860 loss=0.7560 dt_sec=0.79 cum_wall_sec=81.7
00:46:52 | INFO    | src.training.finetune | STEP step=870 loss=0.7448 dt_sec=0.78 cum_wall_sec=82.5
00:46:53 | INFO    | src.training.finetune | STEP step=880 loss=0.7532 dt_sec=0.77 cum_wall_sec=83.2
00:46:54 | INFO    | src.training.finetune | STEP step=890 loss=0.7344 dt_sec=0.78 cum_wall_sec=84.0
00:46:55 | INFO    | src.training.finetune | STEP step=900 loss=0.7192 dt_sec=0.79 cum_wall_sec=84.8
00:46:56 | INFO    | src.training.finetune | STEP step=910 loss=0.7748 dt_sec=0.78 cum_wall_sec=85.6
00:46:56 | INFO    | src.training.finetune | STEP step=920 loss=0.7477 dt_sec=0.79 cum_wall_sec=86.4
00:46:57 | INFO    | src.training.finetune | STEP step=930 loss=0.7370 dt_sec=0.78 cum_wall_sec=87.2
00:46:58 | INFO    | src.training.finetune | STEP step=940 loss=0.7837 dt_sec=0.79 cum_wall_sec=87.9
00:46:59 | INFO    | src.training.finetune | STEP step=950 loss=0.7279 dt_sec=0.79 cum_wall_sec=88.7
00:46:59 | INFO    | src.training.finetune | STEP step=960 loss=0.7542 dt_sec=0.77 cum_wall_sec=89.5
00:47:00 | INFO    | src.training.finetune | STEP step=970 loss=0.7322 dt_sec=0.78 cum_wall_sec=90.3
00:47:01 | INFO    | src.training.finetune | STEP step=980 loss=0.7444 dt_sec=0.78 cum_wall_sec=91.1
00:47:02 | INFO    | src.training.finetune | STEP step=990 loss=0.7072 dt_sec=0.78 cum_wall_sec=91.9
00:47:03 | INFO    | src.training.finetune | STEP step=1000 loss=0.7839 dt_sec=0.78 cum_wall_sec=92.6
00:47:06 | INFO    | src.training.finetune | STEP step=1010 loss=0.7388 dt_sec=3.82 cum_wall_sec=96.5
00:47:07 | INFO    | src.training.finetune | STEP step=1020 loss=0.7398 dt_sec=0.78 cum_wall_sec=97.2
00:47:08 | INFO    | src.training.finetune | STEP step=1030 loss=0.7433 dt_sec=0.77 cum_wall_sec=98.0
00:47:09 | INFO    | src.training.finetune | STEP step=1040 loss=0.7358 dt_sec=0.78 cum_wall_sec=98.8
00:47:10 | INFO    | src.training.finetune | STEP step=1050 loss=0.7000 dt_sec=0.78 cum_wall_sec=99.6
00:47:10 | INFO    | src.training.finetune | STEP step=1060 loss=0.7260 dt_sec=0.78 cum_wall_sec=100.3
00:47:11 | INFO    | src.training.finetune | STEP step=1070 loss=0.7233 dt_sec=0.79 cum_wall_sec=101.1
00:47:12 | INFO    | src.training.finetune | STEP step=1080 loss=0.7437 dt_sec=0.78 cum_wall_sec=101.9
00:47:13 | INFO    | src.training.finetune | STEP step=1090 loss=0.7852 dt_sec=0.76 cum_wall_sec=102.7
00:47:13 | INFO    | src.training.finetune | STEP step=1100 loss=0.7428 dt_sec=0.79 cum_wall_sec=103.5
00:47:14 | INFO    | src.training.finetune | STEP step=1110 loss=0.7046 dt_sec=0.78 cum_wall_sec=104.2
00:47:15 | INFO    | src.training.finetune | STEP step=1120 loss=0.7136 dt_sec=0.78 cum_wall_sec=105.0
00:47:16 | INFO    | src.training.finetune | STEP step=1130 loss=0.7067 dt_sec=0.78 cum_wall_sec=105.8
00:47:17 | INFO    | src.training.finetune | STEP step=1140 loss=0.7380 dt_sec=0.79 cum_wall_sec=106.6
00:47:17 | INFO    | src.training.finetune | STEP step=1150 loss=0.7425 dt_sec=0.78 cum_wall_sec=107.4
00:47:18 | INFO    | src.training.finetune | STEP step=1160 loss=0.7252 dt_sec=0.78 cum_wall_sec=108.2
00:47:19 | INFO    | src.training.finetune | STEP step=1170 loss=0.7575 dt_sec=0.77 cum_wall_sec=108.9
00:47:20 | INFO    | src.training.finetune | STEP step=1180 loss=0.7195 dt_sec=0.78 cum_wall_sec=109.7
00:47:20 | INFO    | src.training.finetune | STEP step=1190 loss=0.7112 dt_sec=0.77 cum_wall_sec=110.5
00:47:21 | INFO    | src.training.finetune | STEP step=1200 loss=0.7508 dt_sec=0.79 cum_wall_sec=111.3
00:47:26 | INFO    | src.training.finetune | STEP step=1210 loss=0.7178 dt_sec=4.35 cum_wall_sec=115.6
00:47:26 | INFO    | src.training.finetune | STEP step=1220 loss=0.7124 dt_sec=0.78 cum_wall_sec=116.4
00:47:27 | INFO    | src.training.finetune | STEP step=1230 loss=0.7283 dt_sec=0.78 cum_wall_sec=117.2
00:47:28 | INFO    | src.training.finetune | STEP step=1240 loss=0.6970 dt_sec=0.78 cum_wall_sec=118.0
00:47:29 | INFO    | src.training.finetune | STEP step=1250 loss=0.7322 dt_sec=0.78 cum_wall_sec=118.7
00:47:29 | INFO    | src.training.finetune | STEP step=1260 loss=0.7375 dt_sec=0.79 cum_wall_sec=119.5
00:47:30 | INFO    | src.training.finetune | STEP step=1270 loss=0.7623 dt_sec=0.78 cum_wall_sec=120.3
00:47:31 | INFO    | src.training.finetune | STEP step=1280 loss=0.7307 dt_sec=0.78 cum_wall_sec=121.1
00:47:32 | INFO    | src.training.finetune | STEP step=1290 loss=0.7342 dt_sec=0.79 cum_wall_sec=121.9
00:47:33 | INFO    | src.training.finetune | STEP step=1300 loss=0.7006 dt_sec=0.77 cum_wall_sec=122.6
00:47:33 | INFO    | src.training.finetune | STEP step=1310 loss=0.7393 dt_sec=0.79 cum_wall_sec=123.4
