22:44:33 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T22:44:33.588225+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=omp__tr=real__seed=1337__6ab72b1457323c67
22:44:33 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
22:44:33 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:44:33 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:44:33.647946+00:00 n=2000 n_classes=2
22:44:34 | INFO    | src.training.finetune | STEP step=10 loss=0.6815 dt_sec=0.75 cum_wall_sec=0.7
22:44:35 | INFO    | src.training.finetune | STEP step=20 loss=0.6935 dt_sec=0.68 cum_wall_sec=1.4
22:44:36 | INFO    | src.training.finetune | STEP step=30 loss=0.6808 dt_sec=0.68 cum_wall_sec=2.1
22:44:36 | INFO    | src.training.finetune | STEP step=40 loss=0.6859 dt_sec=0.69 cum_wall_sec=2.8
22:44:37 | INFO    | src.training.finetune | STEP step=50 loss=0.6575 dt_sec=0.68 cum_wall_sec=3.5
22:44:38 | INFO    | src.training.finetune | STEP step=60 loss=0.6418 dt_sec=0.68 cum_wall_sec=4.2
22:44:38 | INFO    | src.training.finetune | STEP step=70 loss=0.6327 dt_sec=0.68 cum_wall_sec=4.8
22:44:39 | INFO    | src.training.finetune | STEP step=80 loss=0.5975 dt_sec=0.68 cum_wall_sec=5.5
22:44:40 | INFO    | src.training.finetune | STEP step=90 loss=0.5981 dt_sec=0.69 cum_wall_sec=6.2
22:44:41 | INFO    | src.training.finetune | STEP step=100 loss=0.5866 dt_sec=0.69 cum_wall_sec=6.9
22:44:41 | INFO    | src.training.finetune | STEP step=110 loss=0.5471 dt_sec=0.68 cum_wall_sec=7.6
22:44:42 | INFO    | src.training.finetune | STEP step=120 loss=0.5712 dt_sec=0.68 cum_wall_sec=8.3
22:44:43 | INFO    | src.training.finetune | STEP step=130 loss=0.5221 dt_sec=0.68 cum_wall_sec=8.9
22:44:43 | INFO    | src.training.finetune | STEP step=140 loss=0.5293 dt_sec=0.68 cum_wall_sec=9.6
22:44:44 | INFO    | src.training.finetune | STEP step=150 loss=0.5709 dt_sec=0.67 cum_wall_sec=10.3
22:44:45 | INFO    | src.training.finetune | STEP step=160 loss=0.5681 dt_sec=0.69 cum_wall_sec=11.0
22:44:45 | INFO    | src.training.finetune | STEP step=170 loss=0.5650 dt_sec=0.67 cum_wall_sec=11.7
22:44:46 | INFO    | src.training.finetune | STEP step=180 loss=0.5475 dt_sec=0.68 cum_wall_sec=12.3
22:44:47 | INFO    | src.training.finetune | STEP step=190 loss=0.5171 dt_sec=0.68 cum_wall_sec=13.0
22:44:47 | INFO    | src.training.finetune | STEP step=200 loss=0.5456 dt_sec=0.68 cum_wall_sec=13.7
22:44:50 | INFO    | src.training.finetune | STEP step=210 loss=0.5134 dt_sec=2.57 cum_wall_sec=16.3
22:44:51 | INFO    | src.training.finetune | STEP step=220 loss=0.4995 dt_sec=0.69 cum_wall_sec=17.0
22:44:51 | INFO    | src.training.finetune | STEP step=230 loss=0.5512 dt_sec=0.69 cum_wall_sec=17.6
22:44:52 | INFO    | src.training.finetune | STEP step=240 loss=0.5221 dt_sec=0.68 cum_wall_sec=18.3
22:44:53 | INFO    | src.training.finetune | STEP step=250 loss=0.5548 dt_sec=0.69 cum_wall_sec=19.0
