22:41:55 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T22:41:55.931889+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=omp__tr=real__seed=42__dffc0c38fee43559
22:41:55 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
22:41:55 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:41:55 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:41:55.993920+00:00 n=2000 n_classes=2
22:41:57 | INFO    | src.training.finetune | STEP step=10 loss=0.7264 dt_sec=0.76 cum_wall_sec=0.8
22:41:57 | INFO    | src.training.finetune | STEP step=20 loss=0.7295 dt_sec=0.65 cum_wall_sec=1.4
22:41:58 | INFO    | src.training.finetune | STEP step=30 loss=0.7143 dt_sec=0.66 cum_wall_sec=2.1
22:41:59 | INFO    | src.training.finetune | STEP step=40 loss=0.7080 dt_sec=0.65 cum_wall_sec=2.7
22:41:59 | INFO    | src.training.finetune | STEP step=50 loss=0.6973 dt_sec=0.67 cum_wall_sec=3.4
22:42:00 | INFO    | src.training.finetune | STEP step=60 loss=0.6942 dt_sec=0.68 cum_wall_sec=4.1
22:42:01 | INFO    | src.training.finetune | STEP step=70 loss=0.6901 dt_sec=0.65 cum_wall_sec=4.7
22:42:01 | INFO    | src.training.finetune | STEP step=80 loss=0.6855 dt_sec=0.66 cum_wall_sec=5.4
22:42:02 | INFO    | src.training.finetune | STEP step=90 loss=0.6745 dt_sec=0.67 cum_wall_sec=6.0
22:42:03 | INFO    | src.training.finetune | STEP step=100 loss=0.6738 dt_sec=0.66 cum_wall_sec=6.7
22:42:03 | INFO    | src.training.finetune | STEP step=110 loss=0.6443 dt_sec=0.67 cum_wall_sec=7.4
22:42:04 | INFO    | src.training.finetune | STEP step=120 loss=0.6707 dt_sec=0.65 cum_wall_sec=8.0
22:42:05 | INFO    | src.training.finetune | STEP step=130 loss=0.6501 dt_sec=0.66 cum_wall_sec=8.7
22:42:05 | INFO    | src.training.finetune | STEP step=140 loss=0.6118 dt_sec=0.67 cum_wall_sec=9.4
22:42:06 | INFO    | src.training.finetune | STEP step=150 loss=0.6177 dt_sec=0.66 cum_wall_sec=10.0
22:42:07 | INFO    | src.training.finetune | STEP step=160 loss=0.5870 dt_sec=0.67 cum_wall_sec=10.7
22:42:07 | INFO    | src.training.finetune | STEP step=170 loss=0.5863 dt_sec=0.65 cum_wall_sec=11.3
22:42:08 | INFO    | src.training.finetune | STEP step=180 loss=0.5891 dt_sec=0.66 cum_wall_sec=12.0
22:42:09 | INFO    | src.training.finetune | STEP step=190 loss=0.5716 dt_sec=0.66 cum_wall_sec=12.7
22:42:09 | INFO    | src.training.finetune | STEP step=200 loss=0.5736 dt_sec=0.65 cum_wall_sec=13.3
22:42:12 | INFO    | src.training.finetune | STEP step=210 loss=0.4888 dt_sec=2.51 cum_wall_sec=15.8
22:42:12 | INFO    | src.training.finetune | STEP step=220 loss=0.5624 dt_sec=0.67 cum_wall_sec=16.5
22:42:13 | INFO    | src.training.finetune | STEP step=230 loss=0.5666 dt_sec=0.66 cum_wall_sec=17.2
22:42:14 | INFO    | src.training.finetune | STEP step=240 loss=0.5407 dt_sec=0.65 cum_wall_sec=17.8
22:42:14 | INFO    | src.training.finetune | STEP step=250 loss=0.5764 dt_sec=0.65 cum_wall_sec=18.5
22:42:15 | INFO    | src.training.finetune | STEP step=260 loss=0.4965 dt_sec=0.66 cum_wall_sec=19.1
22:42:16 | INFO    | src.training.finetune | STEP step=270 loss=0.4440 dt_sec=0.67 cum_wall_sec=19.8
22:42:16 | INFO    | src.training.finetune | STEP step=280 loss=0.5541 dt_sec=0.66 cum_wall_sec=20.4
22:42:17 | INFO    | src.training.finetune | STEP step=290 loss=0.4865 dt_sec=0.66 cum_wall_sec=21.1
22:42:18 | INFO    | src.training.finetune | STEP step=300 loss=0.4834 dt_sec=0.66 cum_wall_sec=21.8
22:42:18 | INFO    | src.training.finetune | STEP step=310 loss=0.4850 dt_sec=0.65 cum_wall_sec=22.4
22:42:19 | INFO    | src.training.finetune | STEP step=320 loss=0.4442 dt_sec=0.66 cum_wall_sec=23.1
22:42:20 | INFO    | src.training.finetune | STEP step=330 loss=0.4341 dt_sec=0.67 cum_wall_sec=23.8
22:42:20 | INFO    | src.training.finetune | STEP step=340 loss=0.4360 dt_sec=0.65 cum_wall_sec=24.4
22:42:21 | INFO    | src.training.finetune | STEP step=350 loss=0.3701 dt_sec=0.67 cum_wall_sec=25.1
22:42:22 | INFO    | src.training.finetune | STEP step=360 loss=0.4486 dt_sec=0.68 cum_wall_sec=25.7
22:42:22 | INFO    | src.training.finetune | STEP step=370 loss=0.4047 dt_sec=0.66 cum_wall_sec=26.4
22:42:23 | INFO    | src.training.finetune | STEP step=380 loss=0.4859 dt_sec=0.66 cum_wall_sec=27.1
22:42:24 | INFO    | src.training.finetune | STEP step=390 loss=0.4094 dt_sec=0.66 cum_wall_sec=27.7
22:42:24 | INFO    | src.training.finetune | STEP step=400 loss=0.3473 dt_sec=0.67 cum_wall_sec=28.4
22:42:27 | INFO    | src.training.finetune | STEP step=410 loss=0.4417 dt_sec=2.50 cum_wall_sec=30.9
22:42:28 | INFO    | src.training.finetune | STEP step=420 loss=0.3880 dt_sec=0.66 cum_wall_sec=31.6
22:42:28 | INFO    | src.training.finetune | STEP step=430 loss=0.3770 dt_sec=0.66 cum_wall_sec=32.2
22:42:29 | INFO    | src.training.finetune | STEP step=440 loss=0.3560 dt_sec=0.66 cum_wall_sec=32.9
22:42:29 | INFO    | src.training.finetune | STEP step=450 loss=0.3010 dt_sec=0.65 cum_wall_sec=33.5
22:42:30 | INFO    | src.training.finetune | STEP step=460 loss=0.3101 dt_sec=0.66 cum_wall_sec=34.2
22:42:31 | INFO    | src.training.finetune | STEP step=470 loss=0.3218 dt_sec=0.66 cum_wall_sec=34.8
22:42:31 | INFO    | src.training.finetune | STEP step=480 loss=0.4088 dt_sec=0.67 cum_wall_sec=35.5
22:42:32 | INFO    | src.training.finetune | STEP step=490 loss=0.3092 dt_sec=0.65 cum_wall_sec=36.2
22:42:33 | INFO    | src.training.finetune | STEP step=500 loss=0.2877 dt_sec=0.67 cum_wall_sec=36.8
22:42:33 | INFO    | src.training.finetune | STEP step=510 loss=0.2862 dt_sec=0.66 cum_wall_sec=37.5
22:42:34 | INFO    | src.training.finetune | STEP step=520 loss=0.3548 dt_sec=0.67 cum_wall_sec=38.2
22:42:35 | INFO    | src.training.finetune | STEP step=530 loss=0.2713 dt_sec=0.66 cum_wall_sec=38.8
22:42:35 | INFO    | src.training.finetune | STEP step=540 loss=0.2322 dt_sec=0.66 cum_wall_sec=39.5
22:42:36 | INFO    | src.training.finetune | STEP step=550 loss=0.2491 dt_sec=0.66 cum_wall_sec=40.1
22:42:37 | INFO    | src.training.finetune | STEP step=560 loss=0.2252 dt_sec=0.68 cum_wall_sec=40.8
22:42:37 | INFO    | src.training.finetune | STEP step=570 loss=0.2345 dt_sec=0.65 cum_wall_sec=41.5
22:42:38 | INFO    | src.training.finetune | STEP step=580 loss=0.2029 dt_sec=0.66 cum_wall_sec=42.1
22:42:39 | INFO    | src.training.finetune | STEP step=590 loss=0.2408 dt_sec=0.65 cum_wall_sec=42.8
22:42:39 | INFO    | src.training.finetune | STEP step=600 loss=0.1697 dt_sec=0.67 cum_wall_sec=43.5
22:42:42 | INFO    | src.training.finetune | STEP step=610 loss=0.1752 dt_sec=2.44 cum_wall_sec=45.9
22:42:43 | INFO    | src.training.finetune | STEP step=620 loss=0.2418 dt_sec=0.66 cum_wall_sec=46.6
22:42:43 | INFO    | src.training.finetune | STEP step=630 loss=0.2120 dt_sec=0.65 cum_wall_sec=47.2
22:42:44 | INFO    | src.training.finetune | STEP step=640 loss=0.1995 dt_sec=0.68 cum_wall_sec=47.9
