21:56:12 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
21:56:12 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
21:56:12 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T21:56:12.151236+00:00 n=2000 n_classes=2
21:56:18 | INFO    | src.training.finetune | STEP step=10 loss=0.7066 dt_sec=5.31 cum_wall_sec=5.3
21:56:18 | INFO    | src.training.finetune | STEP step=20 loss=0.7010 dt_sec=0.65 cum_wall_sec=6.0
21:56:22 | INFO    | src.training.finetune | STEP step=30 loss=0.7022 dt_sec=3.59 cum_wall_sec=9.6
21:56:22 | INFO    | src.training.finetune | STEP step=40 loss=0.6975 dt_sec=0.65 cum_wall_sec=10.2
21:56:23 | INFO    | src.training.finetune | STEP step=50 loss=0.6972 dt_sec=0.65 cum_wall_sec=10.9
21:56:24 | INFO    | src.training.finetune | STEP step=60 loss=0.7006 dt_sec=0.65 cum_wall_sec=11.5
21:56:24 | INFO    | src.training.finetune | STEP step=70 loss=0.6990 dt_sec=0.65 cum_wall_sec=12.2
21:56:27 | INFO    | src.training.finetune | STEP step=80 loss=0.7019 dt_sec=2.32 cum_wall_sec=14.5
21:56:29 | INFO    | src.training.finetune | STEP step=90 loss=0.6885 dt_sec=2.24 cum_wall_sec=16.7
21:56:30 | INFO    | src.training.finetune | STEP step=100 loss=0.6923 dt_sec=0.64 cum_wall_sec=17.4
21:56:30 | INFO    | src.training.finetune | STEP step=110 loss=0.6578 dt_sec=0.64 cum_wall_sec=18.0
21:56:31 | INFO    | src.training.finetune | STEP step=120 loss=0.6913 dt_sec=0.64 cum_wall_sec=18.6
21:56:32 | INFO    | src.training.finetune | STEP step=130 loss=0.6861 dt_sec=0.63 cum_wall_sec=19.3
21:56:32 | INFO    | src.training.finetune | STEP step=140 loss=0.6684 dt_sec=0.66 cum_wall_sec=19.9
21:56:33 | INFO    | src.training.finetune | STEP step=150 loss=0.6778 dt_sec=0.64 cum_wall_sec=20.6
21:56:33 | INFO    | src.training.finetune | STEP step=160 loss=0.6717 dt_sec=0.63 cum_wall_sec=21.2
21:56:34 | INFO    | src.training.finetune | STEP step=170 loss=0.6939 dt_sec=0.63 cum_wall_sec=21.8
21:56:35 | INFO    | src.training.finetune | STEP step=180 loss=0.6938 dt_sec=0.64 cum_wall_sec=22.5
21:56:37 | INFO    | src.training.finetune | STEP step=190 loss=0.7182 dt_sec=2.01 cum_wall_sec=24.5
21:56:37 | INFO    | src.training.finetune | STEP step=200 loss=0.6908 dt_sec=0.65 cum_wall_sec=25.1
21:56:40 | INFO    | src.training.finetune | STEP step=210 loss=0.6948 dt_sec=2.46 cum_wall_sec=27.6
21:56:40 | INFO    | src.training.finetune | STEP step=220 loss=0.6582 dt_sec=0.65 cum_wall_sec=28.2
21:56:41 | INFO    | src.training.finetune | STEP step=230 loss=0.6336 dt_sec=0.65 cum_wall_sec=28.9
21:56:42 | INFO    | src.training.finetune | STEP step=240 loss=0.6191 dt_sec=0.64 cum_wall_sec=29.5
21:56:42 | INFO    | src.training.finetune | STEP step=250 loss=0.6443 dt_sec=0.65 cum_wall_sec=30.2
21:56:45 | INFO    | src.training.finetune | STEP step=260 loss=0.6155 dt_sec=2.22 cum_wall_sec=32.4
21:56:45 | INFO    | src.training.finetune | STEP step=270 loss=0.6348 dt_sec=0.63 cum_wall_sec=33.0
21:56:46 | INFO    | src.training.finetune | STEP step=280 loss=0.6078 dt_sec=0.64 cum_wall_sec=33.7
21:56:47 | INFO    | src.training.finetune | STEP step=290 loss=0.5769 dt_sec=0.66 cum_wall_sec=34.3
21:56:47 | INFO    | src.training.finetune | STEP step=300 loss=0.6733 dt_sec=0.65 cum_wall_sec=35.0
21:56:48 | INFO    | src.training.finetune | STEP step=310 loss=0.6318 dt_sec=0.64 cum_wall_sec=35.6
21:56:49 | INFO    | src.training.finetune | STEP step=320 loss=0.5978 dt_sec=0.64 cum_wall_sec=36.2
21:56:49 | INFO    | src.training.finetune | STEP step=330 loss=0.5598 dt_sec=0.64 cum_wall_sec=36.9
21:56:50 | INFO    | src.training.finetune | STEP step=340 loss=0.5620 dt_sec=0.65 cum_wall_sec=37.5
21:56:50 | INFO    | src.training.finetune | STEP step=350 loss=0.5578 dt_sec=0.65 cum_wall_sec=38.2
21:56:51 | INFO    | src.training.finetune | STEP step=360 loss=0.5857 dt_sec=0.64 cum_wall_sec=38.8
21:56:52 | INFO    | src.training.finetune | STEP step=370 loss=0.6189 dt_sec=0.63 cum_wall_sec=39.4
21:56:52 | INFO    | src.training.finetune | STEP step=380 loss=0.5687 dt_sec=0.63 cum_wall_sec=40.1
21:56:53 | INFO    | src.training.finetune | STEP step=390 loss=0.5349 dt_sec=0.64 cum_wall_sec=40.7
21:56:54 | INFO    | src.training.finetune | STEP step=400 loss=0.5546 dt_sec=0.64 cum_wall_sec=41.4
21:56:56 | INFO    | src.training.finetune | STEP step=410 loss=0.4888 dt_sec=2.46 cum_wall_sec=43.8
21:56:57 | INFO    | src.training.finetune | STEP step=420 loss=0.5843 dt_sec=0.64 cum_wall_sec=44.5
21:56:57 | INFO    | src.training.finetune | STEP step=430 loss=0.6354 dt_sec=0.65 cum_wall_sec=45.1
21:56:58 | INFO    | src.training.finetune | STEP step=440 loss=0.5417 dt_sec=0.65 cum_wall_sec=45.8
21:57:00 | INFO    | src.training.finetune | STEP step=450 loss=0.4927 dt_sec=1.98 cum_wall_sec=47.7
21:57:01 | INFO    | src.training.finetune | STEP step=460 loss=0.4446 dt_sec=0.64 cum_wall_sec=48.4
