22:04:34 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
22:04:34 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:04:34 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:04:34.560526+00:00 n=2000 n_classes=2
22:04:35 | INFO    | src.training.finetune | STEP step=10 loss=0.6979 dt_sec=0.73 cum_wall_sec=0.7
22:04:36 | INFO    | src.training.finetune | STEP step=20 loss=0.6994 dt_sec=0.66 cum_wall_sec=1.4
22:04:37 | INFO    | src.training.finetune | STEP step=30 loss=0.6916 dt_sec=0.66 cum_wall_sec=2.1
22:04:37 | INFO    | src.training.finetune | STEP step=40 loss=0.7014 dt_sec=0.67 cum_wall_sec=2.7
22:04:38 | INFO    | src.training.finetune | STEP step=50 loss=0.6889 dt_sec=0.66 cum_wall_sec=3.4
22:04:39 | INFO    | src.training.finetune | STEP step=60 loss=0.6971 dt_sec=0.66 cum_wall_sec=4.0
22:04:39 | INFO    | src.training.finetune | STEP step=70 loss=0.6963 dt_sec=0.66 cum_wall_sec=4.7
22:04:40 | INFO    | src.training.finetune | STEP step=80 loss=0.6918 dt_sec=0.66 cum_wall_sec=5.4
22:04:41 | INFO    | src.training.finetune | STEP step=90 loss=0.6909 dt_sec=0.67 cum_wall_sec=6.0
22:04:41 | INFO    | src.training.finetune | STEP step=100 loss=0.6919 dt_sec=0.67 cum_wall_sec=6.7
22:04:42 | INFO    | src.training.finetune | STEP step=110 loss=0.6670 dt_sec=0.66 cum_wall_sec=7.4
22:04:43 | INFO    | src.training.finetune | STEP step=120 loss=0.6811 dt_sec=0.66 cum_wall_sec=8.0
22:04:43 | INFO    | src.training.finetune | STEP step=130 loss=0.6466 dt_sec=0.66 cum_wall_sec=8.7
22:04:44 | INFO    | src.training.finetune | STEP step=140 loss=0.6697 dt_sec=0.66 cum_wall_sec=9.3
22:04:45 | INFO    | src.training.finetune | STEP step=150 loss=0.6641 dt_sec=0.65 cum_wall_sec=10.0
22:04:45 | INFO    | src.training.finetune | STEP step=160 loss=0.6603 dt_sec=0.67 cum_wall_sec=10.7
22:04:46 | INFO    | src.training.finetune | STEP step=170 loss=0.6759 dt_sec=0.65 cum_wall_sec=11.3
