03:14:11 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
03:14:11 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
03:14:11 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T03:14:11.698174+00:00 n=500 n_classes=2
03:14:12 | INFO    | src.training.finetune | STEP step=10 loss=0.7056 dt_sec=0.72 cum_wall_sec=0.7
03:14:13 | INFO    | src.training.finetune | STEP step=20 loss=0.7223 dt_sec=0.66 cum_wall_sec=1.4
03:14:14 | INFO    | src.training.finetune | STEP step=30 loss=0.7104 dt_sec=0.67 cum_wall_sec=2.1
03:14:14 | INFO    | src.training.finetune | STEP step=40 loss=0.7024 dt_sec=0.66 cum_wall_sec=2.7
03:14:15 | INFO    | src.training.finetune | STEP step=50 loss=0.6948 dt_sec=0.65 cum_wall_sec=3.4
03:14:16 | INFO    | src.training.finetune | STEP step=60 loss=0.6964 dt_sec=0.67 cum_wall_sec=4.0
03:14:16 | INFO    | src.training.finetune | STEP step=70 loss=0.7019 dt_sec=0.66 cum_wall_sec=4.7
03:14:17 | INFO    | src.training.finetune | STEP step=80 loss=0.6916 dt_sec=0.66 cum_wall_sec=5.4
03:14:18 | INFO    | src.training.finetune | STEP step=90 loss=0.7020 dt_sec=0.67 cum_wall_sec=6.0
03:14:18 | INFO    | src.training.finetune | STEP step=100 loss=0.6860 dt_sec=0.66 cum_wall_sec=6.7
03:14:19 | INFO    | src.training.finetune | STEP step=110 loss=0.6866 dt_sec=0.67 cum_wall_sec=7.4
03:14:20 | INFO    | src.training.finetune | STEP step=120 loss=0.6792 dt_sec=0.66 cum_wall_sec=8.0
03:14:20 | INFO    | src.training.finetune | STEP step=130 loss=0.6569 dt_sec=0.66 cum_wall_sec=8.7
03:14:21 | INFO    | src.training.finetune | STEP step=140 loss=0.6391 dt_sec=0.67 cum_wall_sec=9.3
03:14:22 | INFO    | src.training.finetune | STEP step=150 loss=0.5902 dt_sec=0.66 cum_wall_sec=10.0
03:14:22 | INFO    | src.training.finetune | STEP step=160 loss=0.6259 dt_sec=0.66 cum_wall_sec=10.7
03:14:23 | INFO    | src.training.finetune | STEP step=170 loss=0.5865 dt_sec=0.67 cum_wall_sec=11.3
03:14:24 | INFO    | src.training.finetune | STEP step=180 loss=0.5997 dt_sec=0.67 cum_wall_sec=12.0
03:14:24 | INFO    | src.training.finetune | STEP step=190 loss=0.5582 dt_sec=0.67 cum_wall_sec=12.7
03:14:25 | INFO    | src.training.finetune | STEP step=200 loss=0.5491 dt_sec=0.66 cum_wall_sec=13.3
03:14:27 | INFO    | src.training.finetune | STEP step=210 loss=0.5247 dt_sec=2.49 cum_wall_sec=15.8
