22:30:42 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T22:30:42.900729+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=real__seed=1337__46183f8acfd97cbc
22:30:42 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
22:30:43 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:30:43 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:30:43.026790+00:00 n=2000 n_classes=2
22:30:44 | INFO    | src.training.finetune | STEP step=10 loss=0.7186 dt_sec=0.73 cum_wall_sec=0.7
22:30:45 | INFO    | src.training.finetune | STEP step=20 loss=0.6916 dt_sec=0.65 cum_wall_sec=1.4
22:30:45 | INFO    | src.training.finetune | STEP step=30 loss=0.6714 dt_sec=0.65 cum_wall_sec=2.0
22:30:46 | INFO    | src.training.finetune | STEP step=40 loss=0.6264 dt_sec=0.65 cum_wall_sec=2.7
22:30:47 | INFO    | src.training.finetune | STEP step=50 loss=0.5698 dt_sec=0.65 cum_wall_sec=3.3
22:30:47 | INFO    | src.training.finetune | STEP step=60 loss=0.5675 dt_sec=0.65 cum_wall_sec=4.0
22:30:48 | INFO    | src.training.finetune | STEP step=70 loss=0.5342 dt_sec=0.64 cum_wall_sec=4.6
22:30:48 | INFO    | src.training.finetune | STEP step=80 loss=0.5364 dt_sec=0.65 cum_wall_sec=5.3
22:30:49 | INFO    | src.training.finetune | STEP step=90 loss=0.4884 dt_sec=0.65 cum_wall_sec=5.9
22:30:50 | INFO    | src.training.finetune | STEP step=100 loss=0.4948 dt_sec=0.65 cum_wall_sec=6.6
22:30:50 | INFO    | src.training.finetune | STEP step=110 loss=0.4529 dt_sec=0.65 cum_wall_sec=7.2
22:30:51 | INFO    | src.training.finetune | STEP step=120 loss=0.4726 dt_sec=0.65 cum_wall_sec=7.9
22:30:52 | INFO    | src.training.finetune | STEP step=130 loss=0.4270 dt_sec=0.64 cum_wall_sec=8.5
22:30:52 | INFO    | src.training.finetune | STEP step=140 loss=0.3793 dt_sec=0.64 cum_wall_sec=9.2
22:30:53 | INFO    | src.training.finetune | STEP step=150 loss=0.4390 dt_sec=0.64 cum_wall_sec=9.8
22:30:54 | INFO    | src.training.finetune | STEP step=160 loss=0.4039 dt_sec=0.65 cum_wall_sec=10.4
22:30:54 | INFO    | src.training.finetune | STEP step=170 loss=0.4166 dt_sec=0.64 cum_wall_sec=11.1
22:30:55 | INFO    | src.training.finetune | STEP step=180 loss=0.4242 dt_sec=0.65 cum_wall_sec=11.7
22:30:56 | INFO    | src.training.finetune | STEP step=190 loss=0.4153 dt_sec=0.64 cum_wall_sec=12.4
22:30:56 | INFO    | src.training.finetune | STEP step=200 loss=0.4297 dt_sec=0.65 cum_wall_sec=13.0
22:30:59 | INFO    | src.training.finetune | STEP step=210 loss=0.4519 dt_sec=2.97 cum_wall_sec=16.0
22:31:00 | INFO    | src.training.finetune | STEP step=220 loss=0.4256 dt_sec=0.65 cum_wall_sec=16.7
22:31:00 | INFO    | src.training.finetune | STEP step=230 loss=0.3253 dt_sec=0.66 cum_wall_sec=17.3
22:31:01 | INFO    | src.training.finetune | STEP step=240 loss=0.3254 dt_sec=0.65 cum_wall_sec=18.0
22:31:02 | INFO    | src.training.finetune | STEP step=250 loss=0.4140 dt_sec=0.66 cum_wall_sec=18.6
22:31:02 | INFO    | src.training.finetune | STEP step=260 loss=0.3571 dt_sec=0.65 cum_wall_sec=19.3
22:31:03 | INFO    | src.training.finetune | STEP step=270 loss=0.3141 dt_sec=0.66 cum_wall_sec=19.9
22:31:04 | INFO    | src.training.finetune | STEP step=280 loss=0.3328 dt_sec=0.65 cum_wall_sec=20.6
22:31:04 | INFO    | src.training.finetune | STEP step=290 loss=0.3657 dt_sec=0.64 cum_wall_sec=21.2
22:31:05 | INFO    | src.training.finetune | STEP step=300 loss=0.3429 dt_sec=0.65 cum_wall_sec=21.9
22:31:06 | INFO    | src.training.finetune | STEP step=310 loss=0.3122 dt_sec=0.64 cum_wall_sec=22.5
22:31:06 | INFO    | src.training.finetune | STEP step=320 loss=0.3187 dt_sec=0.66 cum_wall_sec=23.2
22:31:07 | INFO    | src.training.finetune | STEP step=330 loss=0.2519 dt_sec=0.64 cum_wall_sec=23.8
22:31:08 | INFO    | src.training.finetune | STEP step=340 loss=0.2868 dt_sec=0.65 cum_wall_sec=24.5
22:31:08 | INFO    | src.training.finetune | STEP step=350 loss=0.2682 dt_sec=0.65 cum_wall_sec=25.1
22:31:09 | INFO    | src.training.finetune | STEP step=360 loss=0.2269 dt_sec=0.66 cum_wall_sec=25.8
22:31:10 | INFO    | src.training.finetune | STEP step=370 loss=0.2782 dt_sec=0.64 cum_wall_sec=26.4
22:31:10 | INFO    | src.training.finetune | STEP step=380 loss=0.1791 dt_sec=0.64 cum_wall_sec=27.1
22:31:11 | INFO    | src.training.finetune | STEP step=390 loss=0.2557 dt_sec=0.65 cum_wall_sec=27.7
22:31:12 | INFO    | src.training.finetune | STEP step=400 loss=0.1970 dt_sec=0.66 cum_wall_sec=28.4
22:31:15 | INFO    | src.training.finetune | STEP step=410 loss=0.2251 dt_sec=3.22 cum_wall_sec=31.6
22:31:15 | INFO    | src.training.finetune | STEP step=420 loss=0.2499 dt_sec=0.65 cum_wall_sec=32.2
22:31:16 | INFO    | src.training.finetune | STEP step=430 loss=0.2071 dt_sec=0.64 cum_wall_sec=32.9
22:31:17 | INFO    | src.training.finetune | STEP step=440 loss=0.1772 dt_sec=0.64 cum_wall_sec=33.5
22:31:17 | INFO    | src.training.finetune | STEP step=450 loss=0.2020 dt_sec=0.66 cum_wall_sec=34.2
22:31:18 | INFO    | src.training.finetune | STEP step=460 loss=0.2145 dt_sec=0.66 cum_wall_sec=34.8
22:31:19 | INFO    | src.training.finetune | STEP step=470 loss=0.1462 dt_sec=0.66 cum_wall_sec=35.5
22:31:19 | INFO    | src.training.finetune | STEP step=480 loss=0.1934 dt_sec=0.65 cum_wall_sec=36.1
22:31:20 | INFO    | src.training.finetune | STEP step=490 loss=0.1991 dt_sec=0.65 cum_wall_sec=36.8
22:31:21 | INFO    | src.training.finetune | STEP step=500 loss=0.1490 dt_sec=0.64 cum_wall_sec=37.4
22:31:21 | INFO    | src.training.finetune | STEP step=510 loss=0.2460 dt_sec=0.65 cum_wall_sec=38.1
22:31:22 | INFO    | src.training.finetune | STEP step=520 loss=0.1265 dt_sec=0.65 cum_wall_sec=38.7
22:31:23 | INFO    | src.training.finetune | STEP step=530 loss=0.1220 dt_sec=0.65 cum_wall_sec=39.4
22:31:23 | INFO    | src.training.finetune | STEP step=540 loss=0.2334 dt_sec=0.65 cum_wall_sec=40.0
22:31:24 | INFO    | src.training.finetune | STEP step=550 loss=0.1539 dt_sec=0.65 cum_wall_sec=40.7
22:31:25 | INFO    | src.training.finetune | STEP step=560 loss=0.1384 dt_sec=0.65 cum_wall_sec=41.4
22:31:25 | INFO    | src.training.finetune | STEP step=570 loss=0.1103 dt_sec=0.64 cum_wall_sec=42.0
22:31:26 | INFO    | src.training.finetune | STEP step=580 loss=0.1513 dt_sec=0.65 cum_wall_sec=42.6
22:31:26 | INFO    | src.training.finetune | STEP step=590 loss=0.1635 dt_sec=0.65 cum_wall_sec=43.3
22:31:27 | INFO    | src.training.finetune | STEP step=600 loss=0.2072 dt_sec=0.66 cum_wall_sec=44.0
22:31:30 | INFO    | src.training.finetune | STEP step=610 loss=0.1058 dt_sec=3.01 cum_wall_sec=47.0
22:31:31 | INFO    | src.training.finetune | STEP step=620 loss=0.1322 dt_sec=0.65 cum_wall_sec=47.6
22:31:31 | INFO    | src.training.finetune | STEP step=630 loss=0.1513 dt_sec=0.66 cum_wall_sec=48.3
22:31:32 | INFO    | src.training.finetune | STEP step=640 loss=0.1784 dt_sec=0.66 cum_wall_sec=48.9
