22:27:53 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T22:27:53.366764+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=real__seed=42__efa2e4215b6f4368
22:27:53 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
22:27:53 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:27:53 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:27:53.495486+00:00 n=2000 n_classes=2
22:27:54 | INFO    | src.training.finetune | STEP step=10 loss=0.7382 dt_sec=0.73 cum_wall_sec=0.7
22:27:55 | INFO    | src.training.finetune | STEP step=20 loss=0.7185 dt_sec=0.67 cum_wall_sec=1.4
22:27:56 | INFO    | src.training.finetune | STEP step=30 loss=0.6786 dt_sec=0.67 cum_wall_sec=2.1
22:27:56 | INFO    | src.training.finetune | STEP step=40 loss=0.6294 dt_sec=0.66 cum_wall_sec=2.7
22:27:57 | INFO    | src.training.finetune | STEP step=50 loss=0.5866 dt_sec=0.68 cum_wall_sec=3.4
22:27:58 | INFO    | src.training.finetune | STEP step=60 loss=0.5631 dt_sec=0.69 cum_wall_sec=4.1
22:27:58 | INFO    | src.training.finetune | STEP step=70 loss=0.5259 dt_sec=0.67 cum_wall_sec=4.8
22:27:59 | INFO    | src.training.finetune | STEP step=80 loss=0.5222 dt_sec=0.68 cum_wall_sec=5.5
22:28:00 | INFO    | src.training.finetune | STEP step=90 loss=0.4615 dt_sec=0.68 cum_wall_sec=6.1
22:28:00 | INFO    | src.training.finetune | STEP step=100 loss=0.5027 dt_sec=0.68 cum_wall_sec=6.8
22:28:01 | INFO    | src.training.finetune | STEP step=110 loss=0.4775 dt_sec=0.69 cum_wall_sec=7.5
22:28:02 | INFO    | src.training.finetune | STEP step=120 loss=0.4885 dt_sec=0.67 cum_wall_sec=8.2
22:28:02 | INFO    | src.training.finetune | STEP step=130 loss=0.4839 dt_sec=0.68 cum_wall_sec=8.8
22:28:03 | INFO    | src.training.finetune | STEP step=140 loss=0.3977 dt_sec=0.69 cum_wall_sec=9.5
22:28:04 | INFO    | src.training.finetune | STEP step=150 loss=0.4426 dt_sec=0.68 cum_wall_sec=10.2
22:28:05 | INFO    | src.training.finetune | STEP step=160 loss=0.4139 dt_sec=0.68 cum_wall_sec=10.9
22:28:05 | INFO    | src.training.finetune | STEP step=170 loss=0.3790 dt_sec=0.67 cum_wall_sec=11.6
22:28:06 | INFO    | src.training.finetune | STEP step=180 loss=0.4331 dt_sec=0.68 cum_wall_sec=12.2
22:28:07 | INFO    | src.training.finetune | STEP step=190 loss=0.4223 dt_sec=0.67 cum_wall_sec=12.9
22:28:07 | INFO    | src.training.finetune | STEP step=200 loss=0.4258 dt_sec=0.67 cum_wall_sec=13.6
22:28:10 | INFO    | src.training.finetune | STEP step=210 loss=0.3113 dt_sec=3.06 cum_wall_sec=16.7
