03:22:35 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T03:22:35.112944+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=real__seed=13__c2145edc9d488ffe
03:22:35 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
03:22:35 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
03:22:35 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T03:22:35.240986+00:00 n=500 n_classes=2
03:22:36 | INFO    | src.training.finetune | STEP step=10 loss=0.7164 dt_sec=0.75 cum_wall_sec=0.7
03:22:37 | INFO    | src.training.finetune | STEP step=20 loss=0.7115 dt_sec=0.69 cum_wall_sec=1.4
03:22:37 | INFO    | src.training.finetune | STEP step=30 loss=0.6834 dt_sec=0.69 cum_wall_sec=2.1
03:22:38 | INFO    | src.training.finetune | STEP step=40 loss=0.6595 dt_sec=0.69 cum_wall_sec=2.8
03:22:39 | INFO    | src.training.finetune | STEP step=50 loss=0.6305 dt_sec=0.69 cum_wall_sec=3.5
03:22:40 | INFO    | src.training.finetune | STEP step=60 loss=0.5661 dt_sec=0.68 cum_wall_sec=4.2
03:22:40 | INFO    | src.training.finetune | STEP step=70 loss=0.5164 dt_sec=0.68 cum_wall_sec=4.9
03:22:41 | INFO    | src.training.finetune | STEP step=80 loss=0.4552 dt_sec=0.68 cum_wall_sec=5.5
03:22:42 | INFO    | src.training.finetune | STEP step=90 loss=0.3993 dt_sec=0.69 cum_wall_sec=6.2
03:22:42 | INFO    | src.training.finetune | STEP step=100 loss=0.4364 dt_sec=0.69 cum_wall_sec=6.9
03:22:43 | INFO    | src.training.finetune | STEP step=110 loss=0.3222 dt_sec=0.69 cum_wall_sec=7.6
03:22:44 | INFO    | src.training.finetune | STEP step=120 loss=0.3064 dt_sec=0.69 cum_wall_sec=8.3
03:22:44 | INFO    | src.training.finetune | STEP step=130 loss=0.2655 dt_sec=0.68 cum_wall_sec=9.0
03:22:45 | INFO    | src.training.finetune | STEP step=140 loss=0.2134 dt_sec=0.69 cum_wall_sec=9.7
03:22:46 | INFO    | src.training.finetune | STEP step=150 loss=0.2427 dt_sec=0.69 cum_wall_sec=10.4
03:22:46 | INFO    | src.training.finetune | STEP step=160 loss=0.1532 dt_sec=0.69 cum_wall_sec=11.1
03:22:47 | INFO    | src.training.finetune | STEP step=170 loss=0.1638 dt_sec=0.70 cum_wall_sec=11.8
03:22:48 | INFO    | src.training.finetune | STEP step=180 loss=0.1988 dt_sec=0.69 cum_wall_sec=12.4
03:22:48 | INFO    | src.training.finetune | STEP step=190 loss=0.1741 dt_sec=0.69 cum_wall_sec=13.1
03:22:49 | INFO    | src.training.finetune | STEP step=200 loss=0.1989 dt_sec=0.68 cum_wall_sec=13.8
03:22:52 | INFO    | src.training.finetune | STEP step=210 loss=0.1624 dt_sec=3.33 cum_wall_sec=17.1
03:22:53 | INFO    | src.training.finetune | STEP step=220 loss=0.1087 dt_sec=0.70 cum_wall_sec=17.8
03:22:54 | INFO    | src.training.finetune | STEP step=230 loss=0.0485 dt_sec=0.68 cum_wall_sec=18.5
03:22:55 | INFO    | src.training.finetune | STEP step=240 loss=0.1047 dt_sec=0.70 cum_wall_sec=19.2
03:22:55 | INFO    | src.training.finetune | STEP step=250 loss=0.0987 dt_sec=0.70 cum_wall_sec=19.9
03:22:56 | INFO    | src.training.finetune | STEP step=260 loss=0.1035 dt_sec=0.69 cum_wall_sec=20.6
03:22:57 | INFO    | src.training.finetune | STEP step=270 loss=0.0282 dt_sec=0.69 cum_wall_sec=21.3
03:22:57 | INFO    | src.training.finetune | STEP step=280 loss=0.1150 dt_sec=0.69 cum_wall_sec=22.0
03:22:58 | INFO    | src.training.finetune | STEP step=290 loss=0.0795 dt_sec=0.70 cum_wall_sec=22.7
03:22:59 | INFO    | src.training.finetune | STEP step=300 loss=0.0477 dt_sec=0.69 cum_wall_sec=23.4
03:22:59 | INFO    | src.training.finetune | STEP step=310 loss=0.0229 dt_sec=0.69 cum_wall_sec=24.0
03:23:00 | INFO    | src.training.finetune | STEP step=320 loss=0.0038 dt_sec=0.69 cum_wall_sec=24.7
03:23:01 | INFO    | src.training.finetune | STEP step=330 loss=0.0810 dt_sec=0.70 cum_wall_sec=25.4
03:23:01 | INFO    | src.training.finetune | STEP step=340 loss=0.0014 dt_sec=0.69 cum_wall_sec=26.1
03:23:02 | INFO    | src.training.finetune | STEP step=350 loss=0.0496 dt_sec=0.69 cum_wall_sec=26.8
03:23:03 | INFO    | src.training.finetune | STEP step=360 loss=0.0010 dt_sec=0.68 cum_wall_sec=27.5
03:23:04 | INFO    | src.training.finetune | STEP step=370 loss=0.0017 dt_sec=0.70 cum_wall_sec=28.2
