03:25:28 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T03:25:28.851139+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=real__seed=7__038305466d136c11
03:25:28 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
03:25:28 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
03:25:28 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T03:25:28.975685+00:00 n=500 n_classes=2
03:25:30 | INFO    | src.training.finetune | STEP step=10 loss=0.6492 dt_sec=0.72 cum_wall_sec=0.7
03:25:30 | INFO    | src.training.finetune | STEP step=20 loss=0.6395 dt_sec=0.65 cum_wall_sec=1.4
03:25:31 | INFO    | src.training.finetune | STEP step=30 loss=0.6081 dt_sec=0.66 cum_wall_sec=2.0
03:25:32 | INFO    | src.training.finetune | STEP step=40 loss=0.5797 dt_sec=0.66 cum_wall_sec=2.7
03:25:32 | INFO    | src.training.finetune | STEP step=50 loss=0.5389 dt_sec=0.66 cum_wall_sec=3.3
03:25:33 | INFO    | src.training.finetune | STEP step=60 loss=0.4994 dt_sec=0.66 cum_wall_sec=4.0
03:25:34 | INFO    | src.training.finetune | STEP step=70 loss=0.4354 dt_sec=0.66 cum_wall_sec=4.7
03:25:34 | INFO    | src.training.finetune | STEP step=80 loss=0.4283 dt_sec=0.65 cum_wall_sec=5.3
03:25:35 | INFO    | src.training.finetune | STEP step=90 loss=0.4149 dt_sec=0.67 cum_wall_sec=6.0
03:25:36 | INFO    | src.training.finetune | STEP step=100 loss=0.3788 dt_sec=0.66 cum_wall_sec=6.6
03:25:36 | INFO    | src.training.finetune | STEP step=110 loss=0.3210 dt_sec=0.66 cum_wall_sec=7.3
03:25:37 | INFO    | src.training.finetune | STEP step=120 loss=0.2709 dt_sec=0.66 cum_wall_sec=8.0
03:25:38 | INFO    | src.training.finetune | STEP step=130 loss=0.2799 dt_sec=0.66 cum_wall_sec=8.6
03:25:38 | INFO    | src.training.finetune | STEP step=140 loss=0.2664 dt_sec=0.66 cum_wall_sec=9.3
03:25:39 | INFO    | src.training.finetune | STEP step=150 loss=0.2559 dt_sec=0.66 cum_wall_sec=9.9
03:25:40 | INFO    | src.training.finetune | STEP step=160 loss=0.2077 dt_sec=0.66 cum_wall_sec=10.6
03:25:40 | INFO    | src.training.finetune | STEP step=170 loss=0.1890 dt_sec=0.66 cum_wall_sec=11.3
03:25:41 | INFO    | src.training.finetune | STEP step=180 loss=0.1130 dt_sec=0.67 cum_wall_sec=11.9
03:25:42 | INFO    | src.training.finetune | STEP step=190 loss=0.1914 dt_sec=0.66 cum_wall_sec=12.6
03:25:42 | INFO    | src.training.finetune | STEP step=200 loss=0.1565 dt_sec=0.66 cum_wall_sec=13.3
03:25:45 | INFO    | src.training.finetune | STEP step=210 loss=0.1264 dt_sec=3.00 cum_wall_sec=16.3
03:25:46 | INFO    | src.training.finetune | STEP step=220 loss=0.4844 dt_sec=0.66 cum_wall_sec=16.9
03:25:47 | INFO    | src.training.finetune | STEP step=230 loss=0.1300 dt_sec=0.66 cum_wall_sec=17.6
03:25:47 | INFO    | src.training.finetune | STEP step=240 loss=0.1344 dt_sec=0.66 cum_wall_sec=18.2
03:25:48 | INFO    | src.training.finetune | STEP step=250 loss=0.0385 dt_sec=0.67 cum_wall_sec=18.9
03:25:49 | INFO    | src.training.finetune | STEP step=260 loss=0.1037 dt_sec=0.66 cum_wall_sec=19.6
03:25:49 | INFO    | src.training.finetune | STEP step=270 loss=0.0698 dt_sec=0.67 cum_wall_sec=20.2
03:25:50 | INFO    | src.training.finetune | STEP step=280 loss=0.1142 dt_sec=0.66 cum_wall_sec=20.9
03:25:51 | INFO    | src.training.finetune | STEP step=290 loss=0.0360 dt_sec=0.68 cum_wall_sec=21.6
03:25:51 | INFO    | src.training.finetune | STEP step=300 loss=0.0543 dt_sec=0.68 cum_wall_sec=22.3
03:25:52 | INFO    | src.training.finetune | STEP step=310 loss=0.0564 dt_sec=0.66 cum_wall_sec=22.9
03:25:53 | INFO    | src.training.finetune | STEP step=320 loss=0.0199 dt_sec=0.67 cum_wall_sec=23.6
03:25:53 | INFO    | src.training.finetune | STEP step=330 loss=0.0303 dt_sec=0.68 cum_wall_sec=24.3
03:25:54 | INFO    | src.training.finetune | STEP step=340 loss=0.0463 dt_sec=0.70 cum_wall_sec=25.0
03:25:55 | INFO    | src.training.finetune | STEP step=350 loss=0.0226 dt_sec=0.69 cum_wall_sec=25.7
03:25:55 | INFO    | src.training.finetune | STEP step=360 loss=0.0010 dt_sec=0.69 cum_wall_sec=26.3
03:25:56 | INFO    | src.training.finetune | STEP step=370 loss=0.0503 dt_sec=0.70 cum_wall_sec=27.0
03:25:57 | INFO    | src.training.finetune | STEP step=380 loss=0.0021 dt_sec=0.69 cum_wall_sec=27.7
03:25:57 | INFO    | src.training.finetune | STEP step=390 loss=0.0209 dt_sec=0.69 cum_wall_sec=28.4
03:25:58 | INFO    | src.training.finetune | STEP step=400 loss=0.0740 dt_sec=0.69 cum_wall_sec=29.1
03:26:01 | INFO    | src.training.finetune | STEP step=410 loss=0.0404 dt_sec=3.04 cum_wall_sec=32.1
03:26:02 | INFO    | src.training.finetune | STEP step=420 loss=0.0178 dt_sec=0.68 cum_wall_sec=32.8
03:26:03 | INFO    | src.training.finetune | STEP step=430 loss=0.0417 dt_sec=0.70 cum_wall_sec=33.5
03:26:03 | INFO    | src.training.finetune | STEP step=440 loss=0.0223 dt_sec=0.69 cum_wall_sec=34.2
03:26:04 | INFO    | src.training.finetune | STEP step=450 loss=0.0249 dt_sec=0.69 cum_wall_sec=34.9
03:26:05 | INFO    | src.training.finetune | STEP step=460 loss=0.0259 dt_sec=0.70 cum_wall_sec=35.6
03:26:05 | INFO    | src.training.finetune | STEP step=470 loss=0.0055 dt_sec=0.67 cum_wall_sec=36.3
