23:00:39 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T23:00:39.066254+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=scrambled__seed=13__5a9553ee1c231e77
23:00:39 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
23:00:39 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
23:00:39 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T23:00:39.251099+00:00 n=2000 n_classes=2
23:00:40 | INFO    | src.training.finetune | STEP step=10 loss=0.7127 dt_sec=0.70 cum_wall_sec=0.7
23:00:41 | INFO    | src.training.finetune | STEP step=20 loss=0.7007 dt_sec=0.66 cum_wall_sec=1.4
23:00:41 | INFO    | src.training.finetune | STEP step=30 loss=0.6795 dt_sec=0.65 cum_wall_sec=2.0
23:00:42 | INFO    | src.training.finetune | STEP step=40 loss=0.6708 dt_sec=0.65 cum_wall_sec=2.7
23:00:43 | INFO    | src.training.finetune | STEP step=50 loss=0.6273 dt_sec=0.65 cum_wall_sec=3.3
23:00:43 | INFO    | src.training.finetune | STEP step=60 loss=0.6131 dt_sec=0.65 cum_wall_sec=4.0
23:00:44 | INFO    | src.training.finetune | STEP step=70 loss=0.5603 dt_sec=0.66 cum_wall_sec=4.6
23:00:45 | INFO    | src.training.finetune | STEP step=80 loss=0.5112 dt_sec=0.66 cum_wall_sec=5.3
23:00:45 | INFO    | src.training.finetune | STEP step=90 loss=0.5219 dt_sec=0.66 cum_wall_sec=6.0
23:00:46 | INFO    | src.training.finetune | STEP step=100 loss=0.5261 dt_sec=0.66 cum_wall_sec=6.6
23:00:47 | INFO    | src.training.finetune | STEP step=110 loss=0.4366 dt_sec=0.66 cum_wall_sec=7.3
23:00:47 | INFO    | src.training.finetune | STEP step=120 loss=0.4743 dt_sec=0.66 cum_wall_sec=7.9
23:00:48 | INFO    | src.training.finetune | STEP step=130 loss=0.4793 dt_sec=0.66 cum_wall_sec=8.6
23:00:49 | INFO    | src.training.finetune | STEP step=140 loss=0.4220 dt_sec=0.66 cum_wall_sec=9.3
23:00:49 | INFO    | src.training.finetune | STEP step=150 loss=0.4675 dt_sec=0.66 cum_wall_sec=9.9
23:00:50 | INFO    | src.training.finetune | STEP step=160 loss=0.4435 dt_sec=0.67 cum_wall_sec=10.6
23:00:51 | INFO    | src.training.finetune | STEP step=170 loss=0.3926 dt_sec=0.65 cum_wall_sec=11.2
23:00:51 | INFO    | src.training.finetune | STEP step=180 loss=0.4307 dt_sec=0.66 cum_wall_sec=11.9
23:00:52 | INFO    | src.training.finetune | STEP step=190 loss=0.4158 dt_sec=0.65 cum_wall_sec=12.6
23:00:53 | INFO    | src.training.finetune | STEP step=200 loss=0.3915 dt_sec=0.67 cum_wall_sec=13.2
23:00:56 | INFO    | src.training.finetune | STEP step=210 loss=0.3412 dt_sec=2.96 cum_wall_sec=16.2
23:00:56 | INFO    | src.training.finetune | STEP step=220 loss=0.3961 dt_sec=0.66 cum_wall_sec=16.8
23:00:57 | INFO    | src.training.finetune | STEP step=230 loss=0.3638 dt_sec=0.66 cum_wall_sec=17.5
23:00:58 | INFO    | src.training.finetune | STEP step=240 loss=0.3749 dt_sec=0.66 cum_wall_sec=18.2
23:00:58 | INFO    | src.training.finetune | STEP step=250 loss=0.2976 dt_sec=0.67 cum_wall_sec=18.8
23:00:59 | INFO    | src.training.finetune | STEP step=260 loss=0.2972 dt_sec=0.65 cum_wall_sec=19.5
23:00:59 | INFO    | src.training.finetune | STEP step=270 loss=0.3051 dt_sec=0.66 cum_wall_sec=20.1
23:01:00 | INFO    | src.training.finetune | STEP step=280 loss=0.3495 dt_sec=0.66 cum_wall_sec=20.8
23:01:01 | INFO    | src.training.finetune | STEP step=290 loss=0.2609 dt_sec=0.66 cum_wall_sec=21.5
23:01:01 | INFO    | src.training.finetune | STEP step=300 loss=0.2438 dt_sec=0.66 cum_wall_sec=22.1
23:01:02 | INFO    | src.training.finetune | STEP step=310 loss=0.2829 dt_sec=0.68 cum_wall_sec=22.8
23:01:03 | INFO    | src.training.finetune | STEP step=320 loss=0.3051 dt_sec=0.67 cum_wall_sec=23.5
23:01:03 | INFO    | src.training.finetune | STEP step=330 loss=0.2248 dt_sec=0.66 cum_wall_sec=24.1
23:01:04 | INFO    | src.training.finetune | STEP step=340 loss=0.2240 dt_sec=0.66 cum_wall_sec=24.8
23:01:05 | INFO    | src.training.finetune | STEP step=350 loss=0.2699 dt_sec=0.96 cum_wall_sec=25.7
23:01:06 | INFO    | src.training.finetune | STEP step=360 loss=0.2345 dt_sec=0.68 cum_wall_sec=26.4
23:01:06 | INFO    | src.training.finetune | STEP step=370 loss=0.2064 dt_sec=0.67 cum_wall_sec=27.1
23:01:07 | INFO    | src.training.finetune | STEP step=380 loss=0.2003 dt_sec=0.67 cum_wall_sec=27.8
23:01:08 | INFO    | src.training.finetune | STEP step=390 loss=0.1347 dt_sec=0.69 cum_wall_sec=28.5
23:01:09 | INFO    | src.training.finetune | STEP step=400 loss=0.2012 dt_sec=0.69 cum_wall_sec=29.2
23:01:12 | INFO    | src.training.finetune | STEP step=410 loss=0.1757 dt_sec=3.18 cum_wall_sec=32.3
23:01:12 | INFO    | src.training.finetune | STEP step=420 loss=0.1420 dt_sec=0.68 cum_wall_sec=33.0
23:01:13 | INFO    | src.training.finetune | STEP step=430 loss=0.1609 dt_sec=0.67 cum_wall_sec=33.7
