22:55:04 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T22:55:04.780474+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=scrambled__seed=42__9277af383c497135
22:55:04 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
22:55:04 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:55:04 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:55:04.904650+00:00 n=2000 n_classes=2
22:55:06 | INFO    | src.training.finetune | STEP step=10 loss=0.7437 dt_sec=0.74 cum_wall_sec=0.7
22:55:06 | INFO    | src.training.finetune | STEP step=20 loss=0.7247 dt_sec=0.65 cum_wall_sec=1.4
22:55:07 | INFO    | src.training.finetune | STEP step=30 loss=0.6805 dt_sec=0.67 cum_wall_sec=2.1
22:55:08 | INFO    | src.training.finetune | STEP step=40 loss=0.6527 dt_sec=0.66 cum_wall_sec=2.7
22:55:08 | INFO    | src.training.finetune | STEP step=50 loss=0.5972 dt_sec=0.68 cum_wall_sec=3.4
22:55:09 | INFO    | src.training.finetune | STEP step=60 loss=0.5762 dt_sec=0.69 cum_wall_sec=4.1
22:55:10 | INFO    | src.training.finetune | STEP step=70 loss=0.5335 dt_sec=0.66 cum_wall_sec=4.7
22:55:10 | INFO    | src.training.finetune | STEP step=80 loss=0.5298 dt_sec=0.67 cum_wall_sec=5.4
22:55:11 | INFO    | src.training.finetune | STEP step=90 loss=0.5064 dt_sec=0.68 cum_wall_sec=6.1
22:55:12 | INFO    | src.training.finetune | STEP step=100 loss=0.5040 dt_sec=0.67 cum_wall_sec=6.8
22:55:12 | INFO    | src.training.finetune | STEP step=110 loss=0.5286 dt_sec=0.68 cum_wall_sec=7.5
22:55:13 | INFO    | src.training.finetune | STEP step=120 loss=0.4655 dt_sec=0.67 cum_wall_sec=8.1
22:55:14 | INFO    | src.training.finetune | STEP step=130 loss=0.4717 dt_sec=0.67 cum_wall_sec=8.8
22:55:14 | INFO    | src.training.finetune | STEP step=140 loss=0.4252 dt_sec=0.68 cum_wall_sec=9.5
22:55:15 | INFO    | src.training.finetune | STEP step=150 loss=0.4685 dt_sec=0.68 cum_wall_sec=10.2
22:55:16 | INFO    | src.training.finetune | STEP step=160 loss=0.4277 dt_sec=0.68 cum_wall_sec=10.8
22:55:16 | INFO    | src.training.finetune | STEP step=170 loss=0.4084 dt_sec=0.66 cum_wall_sec=11.5
22:55:17 | INFO    | src.training.finetune | STEP step=180 loss=0.4130 dt_sec=0.68 cum_wall_sec=12.2
22:55:18 | INFO    | src.training.finetune | STEP step=190 loss=0.4586 dt_sec=0.68 cum_wall_sec=12.9
22:55:19 | INFO    | src.training.finetune | STEP step=200 loss=0.4024 dt_sec=0.67 cum_wall_sec=13.5
22:55:21 | INFO    | src.training.finetune | STEP step=210 loss=0.3556 dt_sec=2.97 cum_wall_sec=16.5
22:55:22 | INFO    | src.training.finetune | STEP step=220 loss=0.4318 dt_sec=0.68 cum_wall_sec=17.2
22:55:23 | INFO    | src.training.finetune | STEP step=230 loss=0.4193 dt_sec=0.67 cum_wall_sec=17.8
22:55:24 | INFO    | src.training.finetune | STEP step=240 loss=0.3751 dt_sec=0.67 cum_wall_sec=18.5
22:55:24 | INFO    | src.training.finetune | STEP step=250 loss=0.3747 dt_sec=0.67 cum_wall_sec=19.2
22:55:25 | INFO    | src.training.finetune | STEP step=260 loss=0.3127 dt_sec=0.66 cum_wall_sec=19.8
22:55:26 | INFO    | src.training.finetune | STEP step=270 loss=0.3245 dt_sec=0.68 cum_wall_sec=20.5
22:55:26 | INFO    | src.training.finetune | STEP step=280 loss=0.2958 dt_sec=0.68 cum_wall_sec=21.2
22:55:27 | INFO    | src.training.finetune | STEP step=290 loss=0.3070 dt_sec=0.67 cum_wall_sec=21.9
22:55:28 | INFO    | src.training.finetune | STEP step=300 loss=0.3410 dt_sec=0.68 cum_wall_sec=22.5
22:55:28 | INFO    | src.training.finetune | STEP step=310 loss=0.3740 dt_sec=0.67 cum_wall_sec=23.2
22:55:29 | INFO    | src.training.finetune | STEP step=320 loss=0.3734 dt_sec=0.67 cum_wall_sec=23.9
22:55:30 | INFO    | src.training.finetune | STEP step=330 loss=0.2503 dt_sec=0.68 cum_wall_sec=24.6
22:55:30 | INFO    | src.training.finetune | STEP step=340 loss=0.2917 dt_sec=0.66 cum_wall_sec=25.2
22:55:31 | INFO    | src.training.finetune | STEP step=350 loss=0.2708 dt_sec=0.67 cum_wall_sec=25.9
22:55:32 | INFO    | src.training.finetune | STEP step=360 loss=0.3332 dt_sec=0.68 cum_wall_sec=26.6
22:55:32 | INFO    | src.training.finetune | STEP step=370 loss=0.2521 dt_sec=0.66 cum_wall_sec=27.2
22:55:33 | INFO    | src.training.finetune | STEP step=380 loss=0.2548 dt_sec=0.67 cum_wall_sec=27.9
22:55:34 | INFO    | src.training.finetune | STEP step=390 loss=0.2311 dt_sec=0.67 cum_wall_sec=28.6
22:55:34 | INFO    | src.training.finetune | STEP step=400 loss=0.1795 dt_sec=0.68 cum_wall_sec=29.3
22:55:38 | INFO    | src.training.finetune | STEP step=410 loss=0.2548 dt_sec=3.62 cum_wall_sec=32.9
22:55:39 | INFO    | src.training.finetune | STEP step=420 loss=0.1725 dt_sec=0.68 cum_wall_sec=33.6
22:55:39 | INFO    | src.training.finetune | STEP step=430 loss=0.2876 dt_sec=0.67 cum_wall_sec=34.2
22:55:40 | INFO    | src.training.finetune | STEP step=440 loss=0.2018 dt_sec=0.67 cum_wall_sec=34.9
22:55:41 | INFO    | src.training.finetune | STEP step=450 loss=0.1733 dt_sec=0.66 cum_wall_sec=35.6
22:55:41 | INFO    | src.training.finetune | STEP step=460 loss=0.1394 dt_sec=0.67 cum_wall_sec=36.2
22:55:42 | INFO    | src.training.finetune | STEP step=470 loss=0.1258 dt_sec=0.67 cum_wall_sec=36.9
22:55:43 | INFO    | src.training.finetune | STEP step=480 loss=0.2125 dt_sec=0.68 cum_wall_sec=37.6
22:55:43 | INFO    | src.training.finetune | STEP step=490 loss=0.2314 dt_sec=0.66 cum_wall_sec=38.2
22:55:44 | INFO    | src.training.finetune | STEP step=500 loss=0.1855 dt_sec=0.68 cum_wall_sec=38.9
22:55:45 | INFO    | src.training.finetune | STEP step=510 loss=0.1045 dt_sec=0.67 cum_wall_sec=39.6
22:55:45 | INFO    | src.training.finetune | STEP step=520 loss=0.3084 dt_sec=0.68 cum_wall_sec=40.3
22:55:46 | INFO    | src.training.finetune | STEP step=530 loss=0.1787 dt_sec=0.67 cum_wall_sec=40.9
22:55:47 | INFO    | src.training.finetune | STEP step=540 loss=0.1547 dt_sec=0.67 cum_wall_sec=41.6
22:55:47 | INFO    | src.training.finetune | STEP step=550 loss=0.1767 dt_sec=0.67 cum_wall_sec=42.3
22:55:48 | INFO    | src.training.finetune | STEP step=560 loss=0.1181 dt_sec=0.68 cum_wall_sec=42.9
22:55:49 | INFO    | src.training.finetune | STEP step=570 loss=0.1976 dt_sec=0.66 cum_wall_sec=43.6
22:55:49 | INFO    | src.training.finetune | STEP step=580 loss=0.0623 dt_sec=0.67 cum_wall_sec=44.3
22:55:50 | INFO    | src.training.finetune | STEP step=590 loss=0.1235 dt_sec=0.66 cum_wall_sec=44.9
22:55:51 | INFO    | src.training.finetune | STEP step=600 loss=0.1032 dt_sec=0.68 cum_wall_sec=45.6
22:55:54 | INFO    | src.training.finetune | STEP step=610 loss=0.1354 dt_sec=2.97 cum_wall_sec=48.6
22:55:54 | INFO    | src.training.finetune | STEP step=620 loss=0.1882 dt_sec=0.68 cum_wall_sec=49.3
22:55:55 | INFO    | src.training.finetune | STEP step=630 loss=0.1533 dt_sec=0.64 cum_wall_sec=49.9
22:55:56 | INFO    | src.training.finetune | STEP step=640 loss=0.0936 dt_sec=0.66 cum_wall_sec=50.6
22:55:56 | INFO    | src.training.finetune | STEP step=650 loss=0.0771 dt_sec=0.65 cum_wall_sec=51.2
22:55:57 | INFO    | src.training.finetune | STEP step=660 loss=0.0876 dt_sec=0.65 cum_wall_sec=51.9
22:55:58 | INFO    | src.training.finetune | STEP step=670 loss=0.1147 dt_sec=0.65 cum_wall_sec=52.5
22:55:58 | INFO    | src.training.finetune | STEP step=680 loss=0.0949 dt_sec=0.64 cum_wall_sec=53.2
22:55:59 | INFO    | src.training.finetune | STEP step=690 loss=0.1849 dt_sec=0.65 cum_wall_sec=53.8
22:55:59 | INFO    | src.training.finetune | STEP step=700 loss=0.1339 dt_sec=0.66 cum_wall_sec=54.5
22:56:00 | INFO    | src.training.finetune | STEP step=710 loss=0.0842 dt_sec=0.64 cum_wall_sec=55.1
22:56:01 | INFO    | src.training.finetune | STEP step=720 loss=0.0926 dt_sec=0.65 cum_wall_sec=55.8
22:56:01 | INFO    | src.training.finetune | STEP step=730 loss=0.1515 dt_sec=0.65 cum_wall_sec=56.4
22:56:02 | INFO    | src.training.finetune | STEP step=740 loss=0.0890 dt_sec=0.65 cum_wall_sec=57.1
22:56:03 | INFO    | src.training.finetune | STEP step=750 loss=0.1331 dt_sec=0.66 cum_wall_sec=57.7
22:56:03 | INFO    | src.training.finetune | STEP step=760 loss=0.1132 dt_sec=0.65 cum_wall_sec=58.4
22:56:04 | INFO    | src.training.finetune | STEP step=770 loss=0.0732 dt_sec=0.65 cum_wall_sec=59.0
22:56:05 | INFO    | src.training.finetune | STEP step=780 loss=0.1001 dt_sec=0.66 cum_wall_sec=59.7
22:56:05 | INFO    | src.training.finetune | STEP step=790 loss=0.1190 dt_sec=0.65 cum_wall_sec=60.3
22:56:06 | INFO    | src.training.finetune | STEP step=800 loss=0.1054 dt_sec=0.64 cum_wall_sec=61.0
22:56:10 | INFO    | src.training.finetune | STEP step=810 loss=0.0669 dt_sec=4.29 cum_wall_sec=65.3
22:56:11 | INFO    | src.training.finetune | STEP step=820 loss=0.0902 dt_sec=0.64 cum_wall_sec=65.9
