23:03:27 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T23:03:27.570157+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=scrambled__seed=7__e61664c90a0280b4
23:03:27 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
23:03:27 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
23:03:27 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T23:03:27.697665+00:00 n=2000 n_classes=2
23:03:29 | INFO    | src.training.finetune | STEP step=10 loss=0.6558 dt_sec=0.74 cum_wall_sec=0.7
23:03:29 | INFO    | src.training.finetune | STEP step=20 loss=0.6421 dt_sec=0.70 cum_wall_sec=1.4
23:03:30 | INFO    | src.training.finetune | STEP step=30 loss=0.6127 dt_sec=0.70 cum_wall_sec=2.1
23:03:31 | INFO    | src.training.finetune | STEP step=40 loss=0.5851 dt_sec=0.70 cum_wall_sec=2.8
23:03:31 | INFO    | src.training.finetune | STEP step=50 loss=0.5686 dt_sec=0.69 cum_wall_sec=3.5
23:03:32 | INFO    | src.training.finetune | STEP step=60 loss=0.5493 dt_sec=0.70 cum_wall_sec=4.2
23:03:33 | INFO    | src.training.finetune | STEP step=70 loss=0.5060 dt_sec=0.69 cum_wall_sec=4.9
23:03:33 | INFO    | src.training.finetune | STEP step=80 loss=0.5251 dt_sec=0.69 cum_wall_sec=5.6
23:03:34 | INFO    | src.training.finetune | STEP step=90 loss=0.4872 dt_sec=0.70 cum_wall_sec=6.3
23:03:35 | INFO    | src.training.finetune | STEP step=100 loss=0.4900 dt_sec=0.70 cum_wall_sec=7.0
23:03:36 | INFO    | src.training.finetune | STEP step=110 loss=0.4718 dt_sec=0.69 cum_wall_sec=7.7
23:03:36 | INFO    | src.training.finetune | STEP step=120 loss=0.5699 dt_sec=0.70 cum_wall_sec=8.4
23:03:37 | INFO    | src.training.finetune | STEP step=130 loss=0.4849 dt_sec=0.68 cum_wall_sec=9.1
23:03:38 | INFO    | src.training.finetune | STEP step=140 loss=0.4477 dt_sec=0.71 cum_wall_sec=9.8
23:03:38 | INFO    | src.training.finetune | STEP step=150 loss=0.4308 dt_sec=0.69 cum_wall_sec=10.5
23:03:39 | INFO    | src.training.finetune | STEP step=160 loss=0.4669 dt_sec=0.69 cum_wall_sec=11.2
23:03:40 | INFO    | src.training.finetune | STEP step=170 loss=0.5678 dt_sec=0.68 cum_wall_sec=11.9
23:03:40 | INFO    | src.training.finetune | STEP step=180 loss=0.4441 dt_sec=0.69 cum_wall_sec=12.5
23:03:41 | INFO    | src.training.finetune | STEP step=190 loss=0.4232 dt_sec=0.70 cum_wall_sec=13.2
23:03:42 | INFO    | src.training.finetune | STEP step=200 loss=0.3867 dt_sec=0.70 cum_wall_sec=13.9
23:03:45 | INFO    | src.training.finetune | STEP step=210 loss=0.3380 dt_sec=3.09 cum_wall_sec=17.0
23:03:46 | INFO    | src.training.finetune | STEP step=220 loss=0.3709 dt_sec=0.70 cum_wall_sec=17.7
23:03:46 | INFO    | src.training.finetune | STEP step=230 loss=0.3703 dt_sec=0.70 cum_wall_sec=18.4
23:03:47 | INFO    | src.training.finetune | STEP step=240 loss=0.4271 dt_sec=0.69 cum_wall_sec=19.1
23:03:48 | INFO    | src.training.finetune | STEP step=250 loss=0.4158 dt_sec=0.69 cum_wall_sec=19.8
23:03:48 | INFO    | src.training.finetune | STEP step=260 loss=0.3612 dt_sec=0.70 cum_wall_sec=20.5
23:03:49 | INFO    | src.training.finetune | STEP step=270 loss=0.3848 dt_sec=0.69 cum_wall_sec=21.2
23:03:50 | INFO    | src.training.finetune | STEP step=280 loss=0.3290 dt_sec=0.69 cum_wall_sec=21.9
23:03:50 | INFO    | src.training.finetune | STEP step=290 loss=0.3150 dt_sec=0.71 cum_wall_sec=22.6
23:03:51 | INFO    | src.training.finetune | STEP step=300 loss=0.3768 dt_sec=0.70 cum_wall_sec=23.3
23:03:52 | INFO    | src.training.finetune | STEP step=310 loss=0.3147 dt_sec=0.70 cum_wall_sec=24.0
23:03:53 | INFO    | src.training.finetune | STEP step=320 loss=0.2381 dt_sec=0.69 cum_wall_sec=24.7
23:03:53 | INFO    | src.training.finetune | STEP step=330 loss=0.2548 dt_sec=0.69 cum_wall_sec=25.4
23:03:54 | INFO    | src.training.finetune | STEP step=340 loss=0.2498 dt_sec=0.70 cum_wall_sec=26.1
23:03:55 | INFO    | src.training.finetune | STEP step=350 loss=0.2458 dt_sec=0.73 cum_wall_sec=26.8
23:03:55 | INFO    | src.training.finetune | STEP step=360 loss=0.2858 dt_sec=0.70 cum_wall_sec=27.5
23:03:56 | INFO    | src.training.finetune | STEP step=370 loss=0.2400 dt_sec=0.69 cum_wall_sec=28.2
23:03:57 | INFO    | src.training.finetune | STEP step=380 loss=0.2019 dt_sec=0.69 cum_wall_sec=28.9
23:03:57 | INFO    | src.training.finetune | STEP step=390 loss=0.1839 dt_sec=0.70 cum_wall_sec=29.6
23:03:58 | INFO    | src.training.finetune | STEP step=400 loss=0.1379 dt_sec=0.69 cum_wall_sec=30.3
23:04:01 | INFO    | src.training.finetune | STEP step=410 loss=0.1922 dt_sec=3.02 cum_wall_sec=33.3
23:04:02 | INFO    | src.training.finetune | STEP step=420 loss=0.2006 dt_sec=0.70 cum_wall_sec=34.0
23:04:03 | INFO    | src.training.finetune | STEP step=430 loss=0.1334 dt_sec=0.70 cum_wall_sec=34.7
23:04:03 | INFO    | src.training.finetune | STEP step=440 loss=0.1977 dt_sec=0.70 cum_wall_sec=35.4
23:04:04 | INFO    | src.training.finetune | STEP step=450 loss=0.0893 dt_sec=0.70 cum_wall_sec=36.1
23:04:05 | INFO    | src.training.finetune | STEP step=460 loss=0.1771 dt_sec=0.70 cum_wall_sec=36.8
23:04:05 | INFO    | src.training.finetune | STEP step=470 loss=0.1536 dt_sec=0.70 cum_wall_sec=37.5
23:04:06 | INFO    | src.training.finetune | STEP step=480 loss=0.1679 dt_sec=0.70 cum_wall_sec=38.2
23:04:07 | INFO    | src.training.finetune | STEP step=490 loss=0.1344 dt_sec=0.69 cum_wall_sec=38.9
23:04:07 | INFO    | src.training.finetune | STEP step=500 loss=0.1826 dt_sec=0.70 cum_wall_sec=39.6
23:04:08 | INFO    | src.training.finetune | STEP step=510 loss=0.1419 dt_sec=0.69 cum_wall_sec=40.3
23:04:09 | INFO    | src.training.finetune | STEP step=520 loss=0.2431 dt_sec=0.70 cum_wall_sec=41.0
23:04:10 | INFO    | src.training.finetune | STEP step=530 loss=0.1349 dt_sec=0.70 cum_wall_sec=41.7
23:04:10 | INFO    | src.training.finetune | STEP step=540 loss=0.1453 dt_sec=0.69 cum_wall_sec=42.4
23:04:11 | INFO    | src.training.finetune | STEP step=550 loss=0.1615 dt_sec=0.70 cum_wall_sec=43.1
23:04:12 | INFO    | src.training.finetune | STEP step=560 loss=0.1343 dt_sec=0.70 cum_wall_sec=43.8
23:04:12 | INFO    | src.training.finetune | STEP step=570 loss=0.1141 dt_sec=0.69 cum_wall_sec=44.5
