03:47:14 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-09T03:47:14.195094+00:00 path=artifacts/tr_stage_cache/base=xlmr__tok=original__tr=scrambled__seed=1337__14ca5b65e54bb0aa
03:47:14 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=TR checkpoint
03:47:14 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
03:47:14 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T03:47:14.322873+00:00 n=500 n_classes=2
03:47:15 | INFO    | src.training.finetune | STEP step=10 loss=0.7207 dt_sec=0.71 cum_wall_sec=0.7
03:47:16 | INFO    | src.training.finetune | STEP step=20 loss=0.7057 dt_sec=0.69 cum_wall_sec=1.4
03:47:16 | INFO    | src.training.finetune | STEP step=30 loss=0.6836 dt_sec=0.67 cum_wall_sec=2.1
03:47:17 | INFO    | src.training.finetune | STEP step=40 loss=0.6582 dt_sec=0.67 cum_wall_sec=2.8
03:47:18 | INFO    | src.training.finetune | STEP step=50 loss=0.6062 dt_sec=0.66 cum_wall_sec=3.4
03:47:18 | INFO    | src.training.finetune | STEP step=60 loss=0.5725 dt_sec=0.67 cum_wall_sec=4.1
03:47:19 | INFO    | src.training.finetune | STEP step=70 loss=0.4845 dt_sec=0.67 cum_wall_sec=4.7
03:47:20 | INFO    | src.training.finetune | STEP step=80 loss=0.4583 dt_sec=0.67 cum_wall_sec=5.4
03:47:20 | INFO    | src.training.finetune | STEP step=90 loss=0.4441 dt_sec=0.67 cum_wall_sec=6.1
03:47:21 | INFO    | src.training.finetune | STEP step=100 loss=0.3492 dt_sec=0.75 cum_wall_sec=6.8
03:47:22 | INFO    | src.training.finetune | STEP step=110 loss=0.3819 dt_sec=0.67 cum_wall_sec=7.5
03:47:23 | INFO    | src.training.finetune | STEP step=120 loss=0.3420 dt_sec=0.67 cum_wall_sec=8.2
03:47:23 | INFO    | src.training.finetune | STEP step=130 loss=0.2973 dt_sec=0.66 cum_wall_sec=8.8
03:47:24 | INFO    | src.training.finetune | STEP step=140 loss=0.2526 dt_sec=0.66 cum_wall_sec=9.5
03:47:25 | INFO    | src.training.finetune | STEP step=150 loss=0.2511 dt_sec=0.67 cum_wall_sec=10.2
03:47:25 | INFO    | src.training.finetune | STEP step=160 loss=0.1862 dt_sec=0.67 cum_wall_sec=10.8
03:47:26 | INFO    | src.training.finetune | STEP step=170 loss=0.1851 dt_sec=0.67 cum_wall_sec=11.5
03:47:27 | INFO    | src.training.finetune | STEP step=180 loss=0.2003 dt_sec=0.67 cum_wall_sec=12.2
03:47:27 | INFO    | src.training.finetune | STEP step=190 loss=0.1622 dt_sec=0.67 cum_wall_sec=12.8
03:47:28 | INFO    | src.training.finetune | STEP step=200 loss=0.1909 dt_sec=0.66 cum_wall_sec=13.5
03:47:31 | INFO    | src.training.finetune | STEP step=210 loss=0.1489 dt_sec=3.07 cum_wall_sec=16.6
03:47:32 | INFO    | src.training.finetune | STEP step=220 loss=0.1409 dt_sec=0.67 cum_wall_sec=17.2
03:47:32 | INFO    | src.training.finetune | STEP step=230 loss=0.0820 dt_sec=0.67 cum_wall_sec=17.9
03:47:33 | INFO    | src.training.finetune | STEP step=240 loss=0.1340 dt_sec=0.66 cum_wall_sec=18.6
03:47:34 | INFO    | src.training.finetune | STEP step=250 loss=0.1602 dt_sec=0.67 cum_wall_sec=19.3
03:47:34 | INFO    | src.training.finetune | STEP step=260 loss=0.1976 dt_sec=0.67 cum_wall_sec=19.9
03:47:35 | INFO    | src.training.finetune | STEP step=270 loss=0.1372 dt_sec=0.67 cum_wall_sec=20.6
03:47:36 | INFO    | src.training.finetune | STEP step=280 loss=0.0883 dt_sec=0.67 cum_wall_sec=21.3
03:47:36 | INFO    | src.training.finetune | STEP step=290 loss=0.1366 dt_sec=0.67 cum_wall_sec=21.9
03:47:37 | INFO    | src.training.finetune | STEP step=300 loss=0.0782 dt_sec=0.67 cum_wall_sec=22.6
03:47:38 | INFO    | src.training.finetune | STEP step=310 loss=0.1291 dt_sec=0.66 cum_wall_sec=23.3
03:47:38 | INFO    | src.training.finetune | STEP step=320 loss=0.1248 dt_sec=0.67 cum_wall_sec=23.9
03:47:39 | INFO    | src.training.finetune | STEP step=330 loss=0.0811 dt_sec=0.67 cum_wall_sec=24.6
03:47:40 | INFO    | src.training.finetune | STEP step=340 loss=0.0583 dt_sec=0.67 cum_wall_sec=25.3
03:47:40 | INFO    | src.training.finetune | STEP step=350 loss=0.1017 dt_sec=0.67 cum_wall_sec=25.9
03:47:41 | INFO    | src.training.finetune | STEP step=360 loss=0.0747 dt_sec=0.66 cum_wall_sec=26.6
03:47:42 | INFO    | src.training.finetune | STEP step=370 loss=0.0554 dt_sec=0.67 cum_wall_sec=27.3
03:47:42 | INFO    | src.training.finetune | STEP step=380 loss=0.0533 dt_sec=0.68 cum_wall_sec=27.9
