base,train_size,baseline,comparison,n_runs_baseline,n_runs_comparison,baseline_escape,comparison_escape,baseline_escape_rate,comparison_escape_rate,baseline_escape_wilson_ci,comparison_escape_wilson_ci,escape_rate_diff,escape_fisher_odds_ratio,escape_fisher_p_value,escape_significant,n_escaped_baseline,n_escaped_comparison,conditional_mean_baseline,conditional_mean_comparison,conditional_status,conditional_baseline_ci,conditional_comparison_ci,conditional_diff,conditional_ci_low,conditional_ci_high,conditional_ci_excludes_zero,conditional_t_stat,conditional_p_value,conditional_significant,conditional_cohens_d,seed_std_pooled,diff_over_noise,n_shared_escaped_seeds,shared_escaped_seeds,paired_status,paired_mean_diff,paired_t_stat,paired_p_value,paired_significant,paired_all_same_sign,all_seed_mean_baseline,all_seed_mean_comparison,all_seed_diff,all_seed_diff_sign_matches_conditional,all_seed_paired_p_value,all_seed_paired_n,p_adjusted_holm,survives_family_correction,paired_note,conditional_note
xlm15,500,baza,her_ikisi,5,5,3/5,5/5,0.6,1.0,"[0.2307242812760128, 0.882379225767352]","[0.5655175352168251, 1.0]",0.4,,0.44444,False,3,5,0.6306,0.6217,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.6111778965274507, 0.6304337615509505]",-0.0089,-0.0219,0.0035,False,-1.1616,0.29239,False,-0.771,0.0109,0.81,3.0,"[7, 13, 1337]",MEASURED,-0.0124,-1.0046,0.42089,False,False,0.5117,0.6217,0.11,,0.21792,5.0,1.0,False,,
xlm15,500,baza,tokenizator,5,5,3/5,2/5,0.6,0.4,"[0.2307242812760128, 0.882379225767352]","[0.11762077423264783, 0.769275718723987]",-0.2,0.4444,1.0,False,3,2,0.6306,0.5272,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.4402749578162218, 0.6140960336327752]",-0.1034,-0.1963,-0.0105,True,-1.1877,0.44445,False,-1.449,0.0871,1.19,2.0,"[7, 1337]",MEASURED,-0.0991,-1.0784,0.47601,False,True,0.5117,0.4109,-0.1008,,0.18453,5.0,1.0,False,,
xlm15,500,baza,transplant_mean,5,5,3/5,2/5,0.6,0.4,"[0.2307242812760128, 0.882379225767352]","[0.11762077423264783, 0.769275718723987]",-0.2,0.4444,1.0,False,3,2,0.6306,0.6359,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.6269226842943625, 0.644939537283105]",0.0053,-0.0096,0.0203,False,0.5143,0.66671,False,0.515,0.011,0.49,1.0,[7],NOT MEASURED,,,,,,0.5117,0.4544,-0.0573,,0.64348,5.0,1.0,False,"Only 1 seed(s) escaped in BOTH arms, so no paired test exists. The conditional Welch result above therefore compares DIFFERENT experimental units, not a treatment contrast on matched units.",
xlm15,500,baza,transplant_random_coef,5,5,3/5,3/5,0.6,0.6,"[0.2307242812760128, 0.882379225767352]","[0.2307242812760128, 0.882379225767352]",0.0,1.0,1.0,False,3,3,0.6306,0.6192,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.6094168066104837, 0.6315956694105044]",-0.0114,-0.0247,0.002,False,-1.3666,0.24703,False,-1.116,0.0102,1.12,1.0,[13],NOT MEASURED,,,,,,0.5117,0.5049,-0.0068,,0.9608,5.0,1.0,False,"Only 1 seed(s) escaped in BOTH arms, so no paired test exists. The conditional Welch result above therefore compares DIFFERENT experimental units, not a treatment contrast on matched units.",
xlm15,500,baza,turk,5,5,3/5,4/5,0.6,0.8,"[0.2307242812760128, 0.882379225767352]","[0.37553462976252533, 0.9637758913675698]",0.2,2.6667,1.0,False,3,4,0.6306,0.6141,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.5750117401149344, 0.6388137460366372]",-0.0165,-0.0563,0.0111,False,-0.7929,0.47967,False,-0.52,0.0292,0.57,3.0,"[7, 13, 1337]",MEASURED,0.0033,0.3586,0.75419,False,False,0.5117,0.558,0.0462,,0.35299,5.0,1.0,False,,
xlm15,500,baza,turk_qarisiq,5,5,3/5,3/5,0.6,0.6,"[0.2307242812760128, 0.882379225767352]","[0.2307242812760128, 0.882379225767352]",0.0,1.0,1.0,False,3,3,0.6306,0.6348,MEASURED,"[0.6212992173530448, 0.6391661065822913]","[0.6195650189995943, 0.6455713255370666]",0.0042,-0.011,0.0189,False,0.4516,0.6784,False,0.369,0.0115,0.37,2.0,"[7, 13]",MEASURED,-0.0008,-0.8037,0.569,False,False,0.5117,0.5143,0.0025,,0.98022,5.0,1.0,False,,
xlm15,500,her_ikisi,tokenizator,5,5,5/5,2/5,1.0,0.4,"[0.5655175352168251, 1.0]","[0.11762077423264783, 0.769275718723987]",-0.6,0.0,0.16667,False,5,2,0.6217,0.5272,MEASURED,"[0.6111778965274507, 0.6304337615509505]","[0.4402749578162218, 0.6140960336327752]",-0.0945,-0.188,-0.0011,True,-1.0853,0.4728,False,-1.684,0.0874,1.08,2.0,"[7, 1337]",MEASURED,-0.099,-1.0874,0.47337,False,True,0.6217,0.4109,-0.2108,,0.0177,5.0,1.0,False,,
xlm15,500,her_ikisi,transplant_mean,5,5,5/5,2/5,1.0,0.4,"[0.5655175352168251, 1.0]","[0.11762077423264783, 0.769275718723987]",-0.6,0.0,0.16667,False,5,2,0.6217,0.6359,MEASURED,"[0.6111778965274507, 0.6304337615509505]","[0.6269226842943625, 0.644939537283105]",0.0142,-0.0013,0.0298,False,1.3388,0.32053,False,1.126,0.0127,1.12,2.0,"[7, 2024]",MEASURED,0.0076,2.7928,0.2189,False,True,0.6217,0.4544,-0.1673,,0.07952,5.0,1.0,False,,
xlm15,500,her_ikisi,transplant_random_coef,5,5,5/5,3/5,1.0,0.6,"[0.5655175352168251, 1.0]","[0.2307242812760128, 0.882379225767352]",-0.4,0.0,0.44444,False,5,3,0.6217,0.6192,MEASURED,"[0.6111778965274507, 0.6304337615509505]","[0.6094168066104837, 0.6315956694105044]",-0.0025,-0.0161,0.0121,False,-0.2898,0.78416,False,-0.205,0.012,0.21,3.0,"[13, 42, 2024]",MEASURED,0.0005,0.0554,0.96084,False,False,0.6217,0.5049,-0.1168,,0.18026,5.0,1.0,False,,
xlm15,500,her_ikisi,turk,5,5,5/5,4/5,1.0,0.8,"[0.5655175352168251, 1.0]","[0.37553462976252533, 0.9637758913675698]",-0.2,0.0,1.0,False,5,4,0.6217,0.6141,MEASURED,"[0.6111778965274507, 0.6304337615509505]","[0.5750117401149344, 0.6388137460366372]",-0.0076,-0.0485,0.021,False,-0.3638,0.73705,False,-0.271,0.0299,0.25,4.0,"[7, 13, 42, 1337]",MEASURED,-0.0044,-0.2161,0.84274,False,False,0.6217,0.558,-0.0638,,0.35785,5.0,1.0,False,,
