base,base_role,condition,condition_id,train_size,status,escape_rate,escape_rate_count,escape_rate_wilson_ci,conditional_macro_f1,conditional_macro_f1_bootstrap_ci,n_escaped,n_total,all_seed_macro_f1,all_seed_macro_f1_bootstrap_ci,all_seed_minus_conditional,n_escaped_sustained,escape_rate_sustained,escape_rate_sustained_wilson_ci,n_escaped_then_collapsed,n_tr_stage_degenerate,tr_stage_macro_f1_mean,source_paths
xlm15,primary,baza,1,2000,MEASURED,0.4,2/5,"[0.11762077423264783, 0.769275718723987]",0.6791057910255218,"[0.6741032842236678, 0.6841082978273758]",2,5,0.4798906932414722,"[0.34161355476295674, 0.6181678317199876]",-0.1992,2,0.4,"[0.11762077423264783, 0.769275718723987]",0,0,,"['results/runs/base=xlm15__cond=baza__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=baza__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=baza__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=baza__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=baza__n=2000__seed=7.json']"
xlm15,primary,tokenizator,3,2000,MEASURED,0.6,3/5,"[0.2307242812760128, 0.882379225767352]",0.6148317593005045,"[0.4640341866103985, 0.69074513977798]",3,5,0.502264233511996,"[0.3595371931854664, 0.6449912738385256]",-0.1126,3,0.6,"[0.2307242812760128, 0.882379225767352]",0,0,,"['results/runs/base=xlm15__cond=tokenizator__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=tokenizator__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=tokenizator__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=tokenizator__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=tokenizator__n=2000__seed=7.json']"
xlm15,primary,transplant_mean,6,2000,MEASURED,0.6,3/5,"[0.2307242812760128, 0.882379225767352]",0.695484155470766,"[0.6753847915547664, 0.7058219223367953]",3,5,0.5506556712141529,"[0.40180731417433996, 0.6995040282539658]",-0.1448,3,0.6,"[0.2307242812760128, 0.882379225767352]",0,0,,"['results/runs/base=xlm15__cond=transplant_mean__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=transplant_mean__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_mean__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=transplant_mean__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=transplant_mean__n=2000__seed=7.json']"
xlm15,primary,transplant_random_coef,7,2000,MEASURED,0.8,4/5,"[0.37553462976252533, 0.9637758913675698]",0.6698525583165263,"[0.6644897111506797, 0.6730057936777671]",4,5,0.6025646356190677,"[0.4669619481380748, 0.6727455702843234]",-0.0673,4,0.8,"[0.37553462976252533, 0.9637758913675698]",0,0,,"['results/runs/base=xlm15__cond=transplant_random_coef__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=2000__seed=7.json']"
xlm15,primary,turk,2,2000,MEASURED,0.8,4/5,"[0.37553462976252533, 0.9637758913675698]",0.674675779556025,"[0.6610208645185187, 0.6873804289803149]",4,5,0.6064232126106667,"[0.4687671448470736, 0.6831709166336163]",-0.0683,4,0.8,"[0.37553462976252533, 0.9637758913675698]",0,2,0.4815929467654557,"['results/runs/base=xlm15__cond=turk__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=turk__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=turk__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=turk__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=turk__n=2000__seed=7.json']"
xlm15,primary,her_ikisi,4,2000,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.671212530657707,"[0.6446632514302101, 0.6886857121504738]",5,5,0.671212530657707,"[0.6446632514302101, 0.6886857121504738]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,3,0.40764316132469347,"['results/runs/base=xlm15__cond=her_ikisi__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=her_ikisi__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=her_ikisi__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=her_ikisi__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=her_ikisi__n=2000__seed=7.json']"
xlm15,primary,turk_qarisiq,5,2000,MEASURED,0.4,2/5,"[0.11762077423264783, 0.769275718723987]",0.687259928948263,"[0.6824677478710226, 0.6920521100255035]",2,5,0.47495173847684524,"[0.33341294482923334, 0.6184074045553534]",-0.2123,2,0.4,"[0.11762077423264783, 0.769275718723987]",0,2,0.4949024179426747,"['results/runs/base=xlm15__cond=turk_qarisiq__n=2000__seed=13.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=2000__seed=1337.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=2000__seed=2024.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=2000__seed=42.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=2000__seed=7.json']"
xlmr,contrast,baza,1,2000,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.8277116203278206,"[0.8228375164502983, 0.8329457589314926]",5,5,0.8277116203278206,"[0.8228375164502983, 0.8329457589314926]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=baza__n=2000__seed=13.json', 'results/runs/base=xlmr__cond=baza__n=2000__seed=1337.json', 'results/runs/base=xlmr__cond=baza__n=2000__seed=2024.json', 'results/runs/base=xlmr__cond=baza__n=2000__seed=42.json', 'results/runs/base=xlmr__cond=baza__n=2000__seed=7.json']"
xlmr,contrast,tokenizator,3,2000,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7617693718066334,"[0.7545892880356584, 0.7688360457961713]",5,5,0.7617693718066334,"[0.7545892880356584, 0.7688360457961713]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=tokenizator__n=2000__seed=13.json', 'results/runs/base=xlmr__cond=tokenizator__n=2000__seed=1337.json', 'results/runs/base=xlmr__cond=tokenizator__n=2000__seed=2024.json', 'results/runs/base=xlmr__cond=tokenizator__n=2000__seed=42.json', 'results/runs/base=xlmr__cond=tokenizator__n=2000__seed=7.json']"
xlmr,contrast,transplant_mean,6,2000,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7772388907318575,"[0.7720942209045136, 0.7827255538270815]",5,5,0.7772388907318575,"[0.7720942209045136, 0.7827255538270815]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=transplant_mean__n=2000__seed=13.json', 'results/runs/base=xlmr__cond=transplant_mean__n=2000__seed=1337.json', 'results/runs/base=xlmr__cond=transplant_mean__n=2000__seed=2024.json', 'results/runs/base=xlmr__cond=transplant_mean__n=2000__seed=42.json', 'results/runs/base=xlmr__cond=transplant_mean__n=2000__seed=7.json']"
